Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
48,drone_8,12.472,13.014,13.537,14.767,"4.097513601632532,6.114840464250907,0.33126074511142617;16.553115592628693,12.370107148809863,0.7193227386695349;16.945398765208644,2.5597149912322528,2.3519985600876225;6.824334392395794,17.775981813862952,0.8732144686925051;17.651884055543636,1.837448943743011,1.2569823079562374;13.664934133804996,6.481555572724375,0.4000967711957769;14.412680541701713,6.55084889216397,0.40917230508104535;18.16749381802233,5.945124396083338,1.218397944151191;17.71352486730421,8.816444985779412,1.3974480654714108;4.801060511818983,17.449990776696815,1.9575825257614214;13.797220274695697,2.5498101337470485,0.35177333187738224;6.924668863778987,17.498025695239257,0.40251200800589587;4.930837966199382,17.528823242126336,2.0960598324514708;2.4012152146930212,15.886355117555143,0.9925433895759979;2.2454457446452443,16.933359870097966,0.6650662186740891;8.682485145075608,3.140056101363106,0.20827517978662102;16.941529296902257,18.71497151602733,1.1906835524239034;15.232524645216738,5.814540664115798,1.0430212446670626;12.87196144602017,8.69373792314142,0.47740559537216337;8.497630853939334,3.025437642930504,0.7924204667802811;16.026110243146892,5.320654323391961,0.3046084808184131;5.606453083269973,16.534694299691857,0.29194743199051576;16.40838431470699,12.893603298594432,0.4168253538263116;2.777523606138236,7.035186115382869,0.40868069977537336;3.2777533606092275,11.188421035284412,0.34544884483866267;6.953979476502491,7.95569744854066,0.88506307816215;16.62393605733097,6.866861215488161,0.46491851611459484;18.806343976000793,12.410492614788378,0.2838808950097489;15.907625792118745,5.465979436444291,0.29726394230770314;11.328711179541067,1.0202948127232914,0.7765306711099944;12.74652401183555,2.5679662020911684,0.8727616180497142;8.440681848993117,0.945236708061929,0.4516130009086043;18.237329791252918,13.453380431295793,0.7908253805964899;4.830153862423334,17.09885380909491,2.1105929577071842;3.6529593704615064,9.084483441494706,0.20255413635375202;12.613719778521313,6.003999410789272,0.31398181288320054;4.033336232937371,2.9021107339451326,1.6714382540177999;2.2886185974120576,3.6907637609600306,1.897774958586237;15.87911642867839,15.482522259474958,0.40144528499996746;17.35783971882441,13.308469541519832,0.34743636809721773;2.554922481845347,14.777757270409232,0.4804207047102985;18.799277229941055,2.615070278487385,0.4306801875535142;6.599447173537881,10.44249067341925,1.0080334585184443;17.871652815786305,7.843535097279424,0.33115359261760147;16.91673675675733,13.506444004807724,0.20439362428023936;12.314372931819626,5.232124862016402,0.7567856682039557;9.070572546994896,14.325597048409014,0.37008471934606535;6.65139396360585,5.772687890906328,0.741007948291066;16.195058084519047,2.5734579161389393,0.9058061869622489;16.123840288558167,2.4970573835899037,1.3955342740126913"
48,drone_9,13.037,11.608,13.537,14.767,"4.097513601632532,6.114840464250907,0.33126074511142617;16.553115592628693,12.370107148809863,0.7193227386695349;16.945398765208644,2.5597149912322528,2.3519985600876225;6.824334392395794,17.775981813862952,0.8732144686925051;17.651884055543636,1.837448943743011,1.2569823079562374;13.664934133804996,6.481555572724375,0.4000967711957769;14.412680541701713,6.55084889216397,0.40917230508104535;18.16749381802233,5.945124396083338,1.218397944151191;17.71352486730421,8.816444985779412,1.3974480654714108;4.801060511818983,17.449990776696815,1.9575825257614214;13.797220274695697,2.5498101337470485,0.35177333187738224;6.924668863778987,17.498025695239257,0.40251200800589587;4.930837966199382,17.528823242126336,2.0960598324514708;2.4012152146930212,15.886355117555143,0.9925433895759979;2.2454457446452443,16.933359870097966,0.6650662186740891;8.682485145075608,3.140056101363106,0.20827517978662102;16.941529296902257,18.71497151602733,1.1906835524239034;15.232524645216738,5.814540664115798,1.0430212446670626;12.87196144602017,8.69373792314142,0.47740559537216337;8.497630853939334,3.025437642930504,0.7924204667802811;16.026110243146892,5.320654323391961,0.3046084808184131;5.606453083269973,16.534694299691857,0.29194743199051576;16.40838431470699,12.893603298594432,0.4168253538263116;2.777523606138236,7.035186115382869,0.40868069977537336;3.2777533606092275,11.188421035284412,0.34544884483866267;6.953979476502491,7.95569744854066,0.88506307816215;16.62393605733097,6.866861215488161,0.46491851611459484;18.806343976000793,12.410492614788378,0.2838808950097489;15.907625792118745,5.465979436444291,0.29726394230770314;11.328711179541067,1.0202948127232914,0.7765306711099944;12.74652401183555,2.5679662020911684,0.8727616180497142;8.440681848993117,0.945236708061929,0.4516130009086043;18.237329791252918,13.453380431295793,0.7908253805964899;4.830153862423334,17.09885380909491,2.1105929577071842;3.6529593704615064,9.084483441494706,0.20255413635375202;12.613719778521313,6.003999410789272,0.31398181288320054;4.033336232937371,2.9021107339451326,1.6714382540177999;2.2886185974120576,3.6907637609600306,1.897774958586237;15.87911642867839,15.482522259474958,0.40144528499996746;17.35783971882441,13.308469541519832,0.34743636809721773;2.554922481845347,14.777757270409232,0.4804207047102985;18.799277229941055,2.615070278487385,0.4306801875535142;6.599447173537881,10.44249067341925,1.0080334585184443;17.871652815786305,7.843535097279424,0.33115359261760147;16.91673675675733,13.506444004807724,0.20439362428023936;12.314372931819626,5.232124862016402,0.7567856682039557;9.070572546994896,14.325597048409014,0.37008471934606535;6.65139396360585,5.772687890906328,0.741007948291066;16.195058084519047,2.5734579161389393,0.9058061869622489;16.123840288558167,2.4970573835899037,1.3955342740126913"
49,drone_0,13.458,11.056,13.537,14.767,"4.097513601632532,6.114840464250907,0.33126074511142617;16.553115592628693,12.370107148809863,0.7193227386695349;16.945398765208644,2.5597149912322528,2.3519985600876225;6.824334392395794,17.775981813862952,0.8732144686925051;17.651884055543636,1.837448943743011,1.2569823079562374;13.664934133804996,6.481555572724375,0.4000967711957769;14.412680541701713,6.55084889216397,0.40917230508104535;18.16749381802233,5.945124396083338,1.218397944151191;17.71352486730421,8.816444985779412,1.3974480654714108;4.801060511818983,17.449990776696815,1.9575825257614214;13.797220274695697,2.5498101337470485,0.35177333187738224;6.924668863778987,17.498025695239257,0.40251200800589587;4.930837966199382,17.528823242126336,2.0960598324514708;2.4012152146930212,15.886355117555143,0.9925433895759979;2.2454457446452443,16.933359870097966,0.6650662186740891;8.682485145075608,3.140056101363106,0.20827517978662102;16.941529296902257,18.71497151602733,1.1906835524239034;15.232524645216738,5.814540664115798,1.0430212446670626;12.87196144602017,8.69373792314142,0.47740559537216337;8.497630853939334,3.025437642930504,0.7924204667802811;16.026110243146892,5.320654323391961,0.3046084808184131;5.606453083269973,16.534694299691857,0.29194743199051576;16.40838431470699,12.893603298594432,0.4168253538263116;2.777523606138236,7.035186115382869,0.40868069977537336;3.2777533606092275,11.188421035284412,0.34544884483866267;6.953979476502491,7.95569744854066,0.88506307816215;16.62393605733097,6.866861215488161,0.46491851611459484;18.806343976000793,12.410492614788378,0.2838808950097489;15.907625792118745,5.465979436444291,0.29726394230770314;11.328711179541067,1.0202948127232914,0.7765306711099944;12.74652401183555,2.5679662020911684,0.8727616180497142;8.440681848993117,0.945236708061929,0.4516130009086043;18.237329791252918,13.453380431295793,0.7908253805964899;4.830153862423334,17.09885380909491,2.1105929577071842;3.6529593704615064,9.084483441494706,0.20255413635375202;12.613719778521313,6.003999410789272,0.31398181288320054;4.033336232937371,2.9021107339451326,1.6714382540177999;2.2886185974120576,3.6907637609600306,1.897774958586237;15.87911642867839,15.482522259474958,0.40144528499996746;17.35783971882441,13.308469541519832,0.34743636809721773;2.554922481845347,14.777757270409232,0.4804207047102985;18.799277229941055,2.615070278487385,0.4306801875535142;6.599447173537881,10.44249067341925,1.0080334585184443;17.871652815786305,7.843535097279424,0.33115359261760147;16.91673675675733,13.506444004807724,0.20439362428023936;12.314372931819626,5.232124862016402,0.7567856682039557;9.070572546994896,14.325597048409014,0.37008471934606535;6.65139396360585,5.772687890906328,0.741007948291066;16.195058084519047,2.5734579161389393,0.9058061869622489;16.123840288558167,2.4970573835899037,1.3955342740126913"
49,drone_1,13.818,11.839,13.537,14.767,"4.097513601632532,6.114840464250907,0.33126074511142617;16.553115592628693,12.370107148809863,0.7193227386695349;16.945398765208644,2.5597149912322528,2.3519985600876225;6.824334392395794,17.775981813862952,0.8732144686925051;17.651884055543636,1.837448943743011,1.2569823079562374;13.664934133804996,6.481555572724375,0.4000967711957769;14.412680541701713,6.55084889216397,0.40917230508104535;18.16749381802233,5.945124396083338,1.218397944151191;17.71352486730421,8.816444985779412,1.3974480654714108;4.801060511818983,17.449990776696815,1.9575825257614214;13.797220274695697,2.5498101337470485,0.35177333187738224;6.924668863778987,17.498025695239257,0.40251200800589587;4.930837966199382,17.528823242126336,2.0960598324514708;2.4012152146930212,15.886355117555143,0.9925433895759979;2.2454457446452443,16.933359870097966,0.6650662186740891;8.682485145075608,3.140056101363106,0.20827517978662102;16.941529296902257,18.71497151602733,1.1906835524239034;15.232524645216738,5.814540664115798,1.0430212446670626;12.87196144602017,8.69373792314142,0.47740559537216337;8.497630853939334,3.025437642930504,0.7924204667802811;16.026110243146892,5.320654323391961,0.3046084808184131;5.606453083269973,16.534694299691857,0.29194743199051576;16.40838431470699,12.893603298594432,0.4168253538263116;2.777523606138236,7.035186115382869,0.40868069977537336;3.2777533606092275,11.188421035284412,0.34544884483866267;6.953979476502491,7.95569744854066,0.88506307816215;16.62393605733097,6.866861215488161,0.46491851611459484;18.806343976000793,12.410492614788378,0.2838808950097489;15.907625792118745,5.465979436444291,0.29726394230770314;11.328711179541067,1.0202948127232914,0.7765306711099944;12.74652401183555,2.5679662020911684,0.8727616180497142;8.440681848993117,0.945236708061929,0.4516130009086043;18.237329791252918,13.453380431295793,0.7908253805964899;4.830153862423334,17.09885380909491,2.1105929577071842;3.6529593704615064,9.084483441494706,0.20255413635375202;12.613719778521313,6.003999410789272,0.31398181288320054;4.033336232937371,2.9021107339451326,1.6714382540177999;2.2886185974120576,3.6907637609600306,1.897774958586237;15.87911642867839,15.482522259474958,0.40144528499996746;17.35783971882441,13.308469541519832,0.34743636809721773;2.554922481845347,14.777757270409232,0.4804207047102985;18.799277229941055,2.615070278487385,0.4306801875535142;6.599447173537881,10.44249067341925,1.0080334585184443;17.871652815786305,7.843535097279424,0.33115359261760147;16.91673675675733,13.506444004807724,0.20439362428023936;12.314372931819626,5.232124862016402,0.7567856682039557;9.070572546994896,14.325597048409014,0.37008471934606535;6.65139396360585,5.772687890906328,0.741007948291066;16.195058084519047,2.5734579161389393,0.9058061869622489;16.123840288558167,2.4970573835899037,1.3955342740126913"
49,drone_2,12.459,11.804,13.537,14.767,"4.097513601632532,6.114840464250907,0.33126074511142617;16.553115592628693,12.370107148809863,0.7193227386695349;16.945398765208644,2.5597149912322528,2.3519985600876225;6.824334392395794,17.775981813862952,0.8732144686925051;17.651884055543636,1.837448943743011,1.2569823079562374;13.664934133804996,6.481555572724375,0.4000967711957769;14.412680541701713,6.55084889216397,0.40917230508104535;18.16749381802233,5.945124396083338,1.218397944151191;17.71352486730421,8.816444985779412,1.3974480654714108;4.801060511818983,17.449990776696815,1.9575825257614214;13.797220274695697,2.5498101337470485,0.35177333187738224;6.924668863778987,17.498025695239257,0.40251200800589587;4.930837966199382,17.528823242126336,2.0960598324514708;2.4012152146930212,15.886355117555143,0.9925433895759979;2.2454457446452443,16.933359870097966,0.6650662186740891;8.682485145075608,3.140056101363106,0.20827517978662102;16.941529296902257,18.71497151602733,1.1906835524239034;15.232524645216738,5.814540664115798,1.0430212446670626;12.87196144602017,8.69373792314142,0.47740559537216337;8.497630853939334,3.025437642930504,0.7924204667802811;16.026110243146892,5.320654323391961,0.3046084808184131;5.606453083269973,16.534694299691857,0.29194743199051576;16.40838431470699,12.893603298594432,0.4168253538263116;2.777523606138236,7.035186115382869,0.40868069977537336;3.2777533606092275,11.188421035284412,0.34544884483866267;6.953979476502491,7.95569744854066,0.88506307816215;16.62393605733097,6.866861215488161,0.46491851611459484;18.806343976000793,12.410492614788378,0.2838808950097489;15.907625792118745,5.465979436444291,0.29726394230770314;11.328711179541067,1.0202948127232914,0.7765306711099944;12.74652401183555,2.5679662020911684,0.8727616180497142;8.440681848993117,0.945236708061929,0.4516130009086043;18.237329791252918,13.453380431295793,0.7908253805964899;4.830153862423334,17.09885380909491,2.1105929577071842;3.6529593704615064,9.084483441494706,0.20255413635375202;12.613719778521313,6.003999410789272,0.31398181288320054;4.033336232937371,2.9021107339451326,1.6714382540177999;2.2886185974120576,3.6907637609600306,1.897774958586237;15.87911642867839,15.482522259474958,0.40144528499996746;17.35783971882441,13.308469541519832,0.34743636809721773;2.554922481845347,14.777757270409232,0.4804207047102985;18.799277229941055,2.615070278487385,0.4306801875535142;6.599447173537881,10.44249067341925,1.0080334585184443;17.871652815786305,7.843535097279424,0.33115359261760147;16.91673675675733,13.506444004807724,0.20439362428023936;12.314372931819626,5.232124862016402,0.7567856682039557;9.070572546994896,14.325597048409014,0.37008471934606535;6.65139396360585,5.772687890906328,0.741007948291066;16.195058084519047,2.5734579161389393,0.9058061869622489;16.123840288558167,2.4970573835899037,1.3955342740126913"
49,drone_3,10.912,13.930,13.537,14.767,"4.097513601632532,6.114840464250907,0.33126074511142617;16.553115592628693,12.370107148809863,0.7193227386695349;16.945398765208644,2.5597149912322528,2.3519985600876225;6.824334392395794,17.775981813862952,0.8732144686925051;17.651884055543636,1.837448943743011,1.2569823079562374;13.664934133804996,6.481555572724375,0.4000967711957769;14.412680541701713,6.55084889216397,0.40917230508104535;18.16749381802233,5.945124396083338,1.218397944151191;17.71352486730421,8.816444985779412,1.3974480654714108;4.801060511818983,17.449990776696815,1.9575825257614214;13.797220274695697,2.5498101337470485,0.35177333187738224;6.924668863778987,17.498025695239257,0.40251200800589587;4.930837966199382,17.528823242126336,2.0960598324514708;2.4012152146930212,15.886355117555143,0.9925433895759979;2.2454457446452443,16.933359870097966,0.6650662186740891;8.682485145075608,3.140056101363106,0.20827517978662102;16.941529296902257,18.71497151602733,1.1906835524239034;15.232524645216738,5.814540664115798,1.0430212446670626;12.87196144602017,8.69373792314142,0.47740559537216337;8.497630853939334,3.025437642930504,0.7924204667802811;16.026110243146892,5.320654323391961,0.3046084808184131;5.606453083269973,16.534694299691857,0.29194743199051576;16.40838431470699,12.893603298594432,0.4168253538263116;2.777523606138236,7.035186115382869,0.40868069977537336;3.2777533606092275,11.188421035284412,0.34544884483866267;6.953979476502491,7.95569744854066,0.88506307816215;16.62393605733097,6.866861215488161,0.46491851611459484;18.806343976000793,12.410492614788378,0.2838808950097489;15.907625792118745,5.465979436444291,0.29726394230770314;11.328711179541067,1.0202948127232914,0.7765306711099944;12.74652401183555,2.5679662020911684,0.8727616180497142;8.440681848993117,0.945236708061929,0.4516130009086043;18.237329791252918,13.453380431295793,0.7908253805964899;4.830153862423334,17.09885380909491,2.1105929577071842;3.6529593704615064,9.084483441494706,0.20255413635375202;12.613719778521313,6.003999410789272,0.31398181288320054;4.033336232937371,2.9021107339451326,1.6714382540177999;2.2886185974120576,3.6907637609600306,1.897774958586237;15.87911642867839,15.482522259474958,0.40144528499996746;17.35783971882441,13.308469541519832,0.34743636809721773;2.554922481845347,14.777757270409232,0.4804207047102985;18.799277229941055,2.615070278487385,0.4306801875535142;6.599447173537881,10.44249067341925,1.0080334585184443;17.871652815786305,7.843535097279424,0.33115359261760147;16.91673675675733,13.506444004807724,0.20439362428023936;12.314372931819626,5.232124862016402,0.7567856682039557;9.070572546994896,14.325597048409014,0.37008471934606535;6.65139396360585,5.772687890906328,0.741007948291066;16.195058084519047,2.5734579161389393,0.9058061869622489;16.123840288558167,2.4970573835899037,1.3955342740126913"
49,drone_4,13.100,13.414,13.537,14.767,"4.097513601632532,6.114840464250907,0.33126074511142617;16.553115592628693,12.370107148809863,0.7193227386695349;16.945398765208644,2.5597149912322528,2.3519985600876225;6.824334392395794,17.775981813862952,0.8732144686925051;17.651884055543636,1.837448943743011,1.2569823079562374;13.664934133804996,6.481555572724375,0.4000967711957769;14.412680541701713,6.55084889216397,0.40917230508104535;18.16749381802233,5.945124396083338,1.218397944151191;17.71352486730421,8.816444985779412,1.3974480654714108;4.801060511818983,17.449990776696815,1.9575825257614214;13.797220274695697,2.5498101337470485,0.35177333187738224;6.924668863778987,17.498025695239257,0.40251200800589587;4.930837966199382,17.528823242126336,2.0960598324514708;2.4012152146930212,15.886355117555143,0.9925433895759979;2.2454457446452443,16.933359870097966,0.6650662186740891;8.682485145075608,3.140056101363106,0.20827517978662102;16.941529296902257,18.71497151602733,1.1906835524239034;15.232524645216738,5.814540664115798,1.0430212446670626;12.87196144602017,8.69373792314142,0.47740559537216337;8.497630853939334,3.025437642930504,0.7924204667802811;16.026110243146892,5.320654323391961,0.3046084808184131;5.606453083269973,16.534694299691857,0.29194743199051576;16.40838431470699,12.893603298594432,0.4168253538263116;2.777523606138236,7.035186115382869,0.40868069977537336;3.2777533606092275,11.188421035284412,0.34544884483866267;6.953979476502491,7.95569744854066,0.88506307816215;16.62393605733097,6.866861215488161,0.46491851611459484;18.806343976000793,12.410492614788378,0.2838808950097489;15.907625792118745,5.465979436444291,0.29726394230770314;11.328711179541067,1.0202948127232914,0.7765306711099944;12.74652401183555,2.5679662020911684,0.8727616180497142;8.440681848993117,0.945236708061929,0.4516130009086043;18.237329791252918,13.453380431295793,0.7908253805964899;4.830153862423334,17.09885380909491,2.1105929577071842;3.6529593704615064,9.084483441494706,0.20255413635375202;12.613719778521313,6.003999410789272,0.31398181288320054;4.033336232937371,2.9021107339451326,1.6714382540177999;2.2886185974120576,3.6907637609600306,1.897774958586237;15.87911642867839,15.482522259474958,0.40144528499996746;17.35783971882441,13.308469541519832,0.34743636809721773;2.554922481845347,14.777757270409232,0.4804207047102985;18.799277229941055,2.615070278487385,0.4306801875535142;6.599447173537881,10.44249067341925,1.0080334585184443;17.871652815786305,7.843535097279424,0.33115359261760147;16.91673675675733,13.506444004807724,0.20439362428023936;12.314372931819626,5.232124862016402,0.7567856682039557;9.070572546994896,14.325597048409014,0.37008471934606535;6.65139396360585,5.772687890906328,0.741007948291066;16.195058084519047,2.5734579161389393,0.9058061869622489;16.123840288558167,2.4970573835899037,1.3955342740126913"
49,drone_5,11.957,13.703,13.537,14.767,"4.097513601632532,6.114840464250907,0.33126074511142617;16.553115592628693,12.370107148809863,0.7193227386695349;16.945398765208644,2.5597149912322528,2.3519985600876225;6.824334392395794,17.775981813862952,0.8732144686925051;17.651884055543636,1.837448943743011,1.2569823079562374;13.664934133804996,6.481555572724375,0.4000967711957769;14.412680541701713,6.55084889216397,0.40917230508104535;18.16749381802233,5.945124396083338,1.218397944151191;17.71352486730421,8.816444985779412,1.3974480654714108;4.801060511818983,17.449990776696815,1.9575825257614214;13.797220274695697,2.5498101337470485,0.35177333187738224;6.924668863778987,17.498025695239257,0.40251200800589587;4.930837966199382,17.528823242126336,2.0960598324514708;2.4012152146930212,15.886355117555143,0.9925433895759979;2.2454457446452443,16.933359870097966,0.6650662186740891;8.682485145075608,3.140056101363106,0.20827517978662102;16.941529296902257,18.71497151602733,1.1906835524239034;15.232524645216738,5.814540664115798,1.0430212446670626;12.87196144602017,8.69373792314142,0.47740559537216337;8.497630853939334,3.025437642930504,0.7924204667802811;16.026110243146892,5.320654323391961,0.3046084808184131;5.606453083269973,16.534694299691857,0.29194743199051576;16.40838431470699,12.893603298594432,0.4168253538263116;2.777523606138236,7.035186115382869,0.40868069977537336;3.2777533606092275,11.188421035284412,0.34544884483866267;6.953979476502491,7.95569744854066,0.88506307816215;16.62393605733097,6.866861215488161,0.46491851611459484;18.806343976000793,12.410492614788378,0.2838808950097489;15.907625792118745,5.465979436444291,0.29726394230770314;11.328711179541067,1.0202948127232914,0.7765306711099944;12.74652401183555,2.5679662020911684,0.8727616180497142;8.440681848993117,0.945236708061929,0.4516130009086043;18.237329791252918,13.453380431295793,0.7908253805964899;4.830153862423334,17.09885380909491,2.1105929577071842;3.6529593704615064,9.084483441494706,0.20255413635375202;12.613719778521313,6.003999410789272,0.31398181288320054;4.033336232937371,2.9021107339451326,1.6714382540177999;2.2886185974120576,3.6907637609600306,1.897774958586237;15.87911642867839,15.482522259474958,0.40144528499996746;17.35783971882441,13.308469541519832,0.34743636809721773;2.554922481845347,14.777757270409232,0.4804207047102985;18.799277229941055,2.615070278487385,0.4306801875535142;6.599447173537881,10.44249067341925,1.0080334585184443;17.871652815786305,7.843535097279424,0.33115359261760147;16.91673675675733,13.506444004807724,0.20439362428023936;12.314372931819626,5.232124862016402,0.7567856682039557;9.070572546994896,14.325597048409014,0.37008471934606535;6.65139396360585,5.772687890906328,0.741007948291066;16.195058084519047,2.5734579161389393,0.9058061869622489;16.123840288558167,2.4970573835899037,1.3955342740126913"
49,drone_6,11.244,13.583,13.537,14.767,"4.097513601632532,6.114840464250907,0.33126074511142617;16.553115592628693,12.370107148809863,0.7193227386695349;16.945398765208644,2.5597149912322528,2.3519985600876225;6.824334392395794,17.775981813862952,0.8732144686925051;17.651884055543636,1.837448943743011,1.2569823079562374;13.664934133804996,6.481555572724375,0.4000967711957769;14.412680541701713,6.55084889216397,0.40917230508104535;18.16749381802233,5.945124396083338,1.218397944151191;17.71352486730421,8.816444985779412,1.3974480654714108;4.801060511818983,17.449990776696815,1.9575825257614214;13.797220274695697,2.5498101337470485,0.35177333187738224;6.924668863778987,17.498025695239257,0.40251200800589587;4.930837966199382,17.528823242126336,2.0960598324514708;2.4012152146930212,15.886355117555143,0.9925433895759979;2.2454457446452443,16.933359870097966,0.6650662186740891;8.682485145075608,3.140056101363106,0.20827517978662102;16.941529296902257,18.71497151602733,1.1906835524239034;15.232524645216738,5.814540664115798,1.0430212446670626;12.87196144602017,8.69373792314142,0.47740559537216337;8.497630853939334,3.025437642930504,0.7924204667802811;16.026110243146892,5.320654323391961,0.3046084808184131;5.606453083269973,16.534694299691857,0.29194743199051576;16.40838431470699,12.893603298594432,0.4168253538263116;2.777523606138236,7.035186115382869,0.40868069977537336;3.2777533606092275,11.188421035284412,0.34544884483866267;6.953979476502491,7.95569744854066,0.88506307816215;16.62393605733097,6.866861215488161,0.46491851611459484;18.806343976000793,12.410492614788378,0.2838808950097489;15.907625792118745,5.465979436444291,0.29726394230770314;11.328711179541067,1.0202948127232914,0.7765306711099944;12.74652401183555,2.5679662020911684,0.8727616180497142;8.440681848993117,0.945236708061929,0.4516130009086043;18.237329791252918,13.453380431295793,0.7908253805964899;4.830153862423334,17.09885380909491,2.1105929577071842;3.6529593704615064,9.084483441494706,0.20255413635375202;12.613719778521313,6.003999410789272,0.31398181288320054;4.033336232937371,2.9021107339451326,1.6714382540177999;2.2886185974120576,3.6907637609600306,1.897774958586237;15.87911642867839,15.482522259474958,0.40144528499996746;17.35783971882441,13.308469541519832,0.34743636809721773;2.554922481845347,14.777757270409232,0.4804207047102985;18.799277229941055,2.615070278487385,0.4306801875535142;6.599447173537881,10.44249067341925,1.0080334585184443;17.871652815786305,7.843535097279424,0.33115359261760147;16.91673675675733,13.506444004807724,0.20439362428023936;12.314372931819626,5.232124862016402,0.7567856682039557;9.070572546994896,14.325597048409014,0.37008471934606535;6.65139396360585,5.772687890906328,0.741007948291066;16.195058084519047,2.5734579161389393,0.9058061869622489;16.123840288558167,2.4970573835899037,1.3955342740126913"
49,drone_7,12.222,12.579,13.537,14.767,"4.097513601632532,6.114840464250907,0.33126074511142617;16.553115592628693,12.370107148809863,0.7193227386695349;16.945398765208644,2.5597149912322528,2.3519985600876225;6.824334392395794,17.775981813862952,0.8732144686925051;17.651884055543636,1.837448943743011,1.2569823079562374;13.664934133804996,6.481555572724375,0.4000967711957769;14.412680541701713,6.55084889216397,0.40917230508104535;18.16749381802233,5.945124396083338,1.218397944151191;17.71352486730421,8.816444985779412,1.3974480654714108;4.801060511818983,17.449990776696815,1.9575825257614214;13.797220274695697,2.5498101337470485,0.35177333187738224;6.924668863778987,17.498025695239257,0.40251200800589587;4.930837966199382,17.528823242126336,2.0960598324514708;2.4012152146930212,15.886355117555143,0.9925433895759979;2.2454457446452443,16.933359870097966,0.6650662186740891;8.682485145075608,3.140056101363106,0.20827517978662102;16.941529296902257,18.71497151602733,1.1906835524239034;15.232524645216738,5.814540664115798,1.0430212446670626;12.87196144602017,8.69373792314142,0.47740559537216337;8.497630853939334,3.025437642930504,0.7924204667802811;16.026110243146892,5.320654323391961,0.3046084808184131;5.606453083269973,16.534694299691857,0.29194743199051576;16.40838431470699,12.893603298594432,0.4168253538263116;2.777523606138236,7.035186115382869,0.40868069977537336;3.2777533606092275,11.188421035284412,0.34544884483866267;6.953979476502491,7.95569744854066,0.88506307816215;16.62393605733097,6.866861215488161,0.46491851611459484;18.806343976000793,12.410492614788378,0.2838808950097489;15.907625792118745,5.465979436444291,0.29726394230770314;11.328711179541067,1.0202948127232914,0.7765306711099944;12.74652401183555,2.5679662020911684,0.8727616180497142;8.440681848993117,0.945236708061929,0.4516130009086043;18.237329791252918,13.453380431295793,0.7908253805964899;4.830153862423334,17.09885380909491,2.1105929577071842;3.6529593704615064,9.084483441494706,0.20255413635375202;12.613719778521313,6.003999410789272,0.31398181288320054;4.033336232937371,2.9021107339451326,1.6714382540177999;2.2886185974120576,3.6907637609600306,1.897774958586237;15.87911642867839,15.482522259474958,0.40144528499996746;17.35783971882441,13.308469541519832,0.34743636809721773;2.554922481845347,14.777757270409232,0.4804207047102985;18.799277229941055,2.615070278487385,0.4306801875535142;6.599447173537881,10.44249067341925,1.0080334585184443;17.871652815786305,7.843535097279424,0.33115359261760147;16.91673675675733,13.506444004807724,0.20439362428023936;12.314372931819626,5.232124862016402,0.7567856682039557;9.070572546994896,14.325597048409014,0.37008471934606535;6.65139396360585,5.772687890906328,0.741007948291066;16.195058084519047,2.5734579161389393,0.9058061869622489;16.123840288558167,2.4970573835899037,1.3955342740126913"
