Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
920,drone_0,9.543,4.764,14.026,9.981,"4.764899817203102,12.40874012998628,0.45755279695806705;4.292144167473011,3.1451394447041854,0.33200963853182675;4.822006556650178,16.014592085046303,0.9252965046278021;5.741553541692808,4.038421111401884,0.4334991524947637;4.461403799932781,13.14191440494726,0.3525503468133119;11.500570370942148,0.8564740840475488,0.23960269310688687;0.6192074563696981,18.739767186980835,0.3288623455329299;9.733845101172655,2.5065645399050442,1.316304179491307;4.505635966583698,14.168162099556056,1.3028362253632637;1.4439191566264886,7.553616772283623,0.23438840429760915;3.962597722259502,1.8883578545563116,0.4715161961957278;1.2069035352005326,15.43443323726774,0.4329272087859069;1.3185228230712909,2.3250960858678233,0.3902618501004128;15.980177327952667,2.6176306319089826,0.7079111742450692;2.367821855619921,10.338550067789782,0.3572245513375344;15.900665790052502,18.756960927216184,1.171955846191128;6.960199640771703,5.988729737572434,1.0114007831428122;4.001382161312416,7.19163919813156,1.1039494127369567;8.661134343986063,16.538132263290795,1.021160365077852;5.748652772628609,2.0930826740180604,0.43068832636139925;2.7658749541463536,10.52831788773316,0.6153815336348454;19.262271758187932,18.738991491501434,0.40249740644460763;12.539736549710913,16.610476230478803,2.158513617452566;12.278199858172888,5.494330895651686,2.376572279932933;5.04442189638769,10.982273907592303,1.6760265252226212;13.201977058780765,0.848639702821051,0.7595012106736235;4.893301388850293,6.936352580383037,1.3267477034338948;12.883965960155946,5.647827156660217,1.0215180884641675;8.387983668156982,7.115460637315658,0.4435639800101664;0.3288340257361612,16.388294420537587,0.22799692465528082;12.603969286053248,18.13158552642582,1.6544704388999365;12.03590301710545,0.3159265952161155,0.2856369008957538;4.354909001445552,7.461779619173196,1.2290078470402954;9.22772786241512,7.341197172017018,0.883110581523562;16.16617226117488,15.487445481382974,0.8708833710741348;14.80105486706636,5.341323947325314,1.0570059423320095;9.429733242814777,13.202116970566484,1.3946362576528373;12.643812062851598,17.501029129653496,0.8591623866457101;1.084423836641555,14.98616265129415,0.4372867672592151;4.137909092790987,2.510335503459233,0.7688685367142164;5.755167124444013,14.237793092332952,1.2361716878495357;3.443562947437806,12.571309735330459,0.8580918656789924;18.514090959976883,10.73381242348923,1.2189504886201368;11.273423129497369,5.352381101028005,0.45000903033546086;8.95778036578437,10.70180270903379,0.35476748773108224;4.860790794533857,11.109122839395202,1.0382227149780783;17.119203907271867,12.360875204463524,0.6254489812161866;8.614590777871097,5.674519041606483,0.9132072295401609"
921,drone_0,9.643,4.656,14.026,9.981,"4.764899817203102,12.40874012998628,0.45755279695806705;4.292144167473011,3.1451394447041854,0.33200963853182675;4.822006556650178,16.014592085046303,0.9252965046278021;5.741553541692808,4.038421111401884,0.4334991524947637;4.461403799932781,13.14191440494726,0.3525503468133119;11.500570370942148,0.8564740840475488,0.23960269310688687;0.6192074563696981,18.739767186980835,0.3288623455329299;9.733845101172655,2.5065645399050442,1.316304179491307;4.505635966583698,14.168162099556056,1.3028362253632637;1.4439191566264886,7.553616772283623,0.23438840429760915;3.962597722259502,1.8883578545563116,0.4715161961957278;1.2069035352005326,15.43443323726774,0.4329272087859069;1.3185228230712909,2.3250960858678233,0.3902618501004128;15.980177327952667,2.6176306319089826,0.7079111742450692;2.367821855619921,10.338550067789782,0.3572245513375344;15.900665790052502,18.756960927216184,1.171955846191128;6.960199640771703,5.988729737572434,1.0114007831428122;4.001382161312416,7.19163919813156,1.1039494127369567;8.661134343986063,16.538132263290795,1.021160365077852;5.748652772628609,2.0930826740180604,0.43068832636139925;2.7658749541463536,10.52831788773316,0.6153815336348454;19.262271758187932,18.738991491501434,0.40249740644460763;12.539736549710913,16.610476230478803,2.158513617452566;12.278199858172888,5.494330895651686,2.376572279932933;5.04442189638769,10.982273907592303,1.6760265252226212;13.201977058780765,0.848639702821051,0.7595012106736235;4.893301388850293,6.936352580383037,1.3267477034338948;12.883965960155946,5.647827156660217,1.0215180884641675;8.387983668156982,7.115460637315658,0.4435639800101664;0.3288340257361612,16.388294420537587,0.22799692465528082;12.603969286053248,18.13158552642582,1.6544704388999365;12.03590301710545,0.3159265952161155,0.2856369008957538;4.354909001445552,7.461779619173196,1.2290078470402954;9.22772786241512,7.341197172017018,0.883110581523562;16.16617226117488,15.487445481382974,0.8708833710741348;14.80105486706636,5.341323947325314,1.0570059423320095;9.429733242814777,13.202116970566484,1.3946362576528373;12.643812062851598,17.501029129653496,0.8591623866457101;1.084423836641555,14.98616265129415,0.4372867672592151;4.137909092790987,2.510335503459233,0.7688685367142164;5.755167124444013,14.237793092332952,1.2361716878495357;3.443562947437806,12.571309735330459,0.8580918656789924;18.514090959976883,10.73381242348923,1.2189504886201368;11.273423129497369,5.352381101028005,0.45000903033546086;8.95778036578437,10.70180270903379,0.35476748773108224;4.860790794533857,11.109122839395202,1.0382227149780783;17.119203907271867,12.360875204463524,0.6254489812161866;8.614590777871097,5.674519041606483,0.9132072295401609"
922,drone_0,9.643,4.647,14.026,9.981,"4.764899817203102,12.40874012998628,0.45755279695806705;4.292144167473011,3.1451394447041854,0.33200963853182675;4.822006556650178,16.014592085046303,0.9252965046278021;5.741553541692808,4.038421111401884,0.4334991524947637;4.461403799932781,13.14191440494726,0.3525503468133119;11.500570370942148,0.8564740840475488,0.23960269310688687;0.6192074563696981,18.739767186980835,0.3288623455329299;9.733845101172655,2.5065645399050442,1.316304179491307;4.505635966583698,14.168162099556056,1.3028362253632637;1.4439191566264886,7.553616772283623,0.23438840429760915;3.962597722259502,1.8883578545563116,0.4715161961957278;1.2069035352005326,15.43443323726774,0.4329272087859069;1.3185228230712909,2.3250960858678233,0.3902618501004128;15.980177327952667,2.6176306319089826,0.7079111742450692;2.367821855619921,10.338550067789782,0.3572245513375344;15.900665790052502,18.756960927216184,1.171955846191128;6.960199640771703,5.988729737572434,1.0114007831428122;4.001382161312416,7.19163919813156,1.1039494127369567;8.661134343986063,16.538132263290795,1.021160365077852;5.748652772628609,2.0930826740180604,0.43068832636139925;2.7658749541463536,10.52831788773316,0.6153815336348454;19.262271758187932,18.738991491501434,0.40249740644460763;12.539736549710913,16.610476230478803,2.158513617452566;12.278199858172888,5.494330895651686,2.376572279932933;5.04442189638769,10.982273907592303,1.6760265252226212;13.201977058780765,0.848639702821051,0.7595012106736235;4.893301388850293,6.936352580383037,1.3267477034338948;12.883965960155946,5.647827156660217,1.0215180884641675;8.387983668156982,7.115460637315658,0.4435639800101664;0.3288340257361612,16.388294420537587,0.22799692465528082;12.603969286053248,18.13158552642582,1.6544704388999365;12.03590301710545,0.3159265952161155,0.2856369008957538;4.354909001445552,7.461779619173196,1.2290078470402954;9.22772786241512,7.341197172017018,0.883110581523562;16.16617226117488,15.487445481382974,0.8708833710741348;14.80105486706636,5.341323947325314,1.0570059423320095;9.429733242814777,13.202116970566484,1.3946362576528373;12.643812062851598,17.501029129653496,0.8591623866457101;1.084423836641555,14.98616265129415,0.4372867672592151;4.137909092790987,2.510335503459233,0.7688685367142164;5.755167124444013,14.237793092332952,1.2361716878495357;3.443562947437806,12.571309735330459,0.8580918656789924;18.514090959976883,10.73381242348923,1.2189504886201368;11.273423129497369,5.352381101028005,0.45000903033546086;8.95778036578437,10.70180270903379,0.35476748773108224;4.860790794533857,11.109122839395202,1.0382227149780783;17.119203907271867,12.360875204463524,0.6254489812161866;8.614590777871097,5.674519041606483,0.9132072295401609"
923,drone_0,9.544,4.738,14.026,9.981,"4.764899817203102,12.40874012998628,0.45755279695806705;4.292144167473011,3.1451394447041854,0.33200963853182675;4.822006556650178,16.014592085046303,0.9252965046278021;5.741553541692808,4.038421111401884,0.4334991524947637;4.461403799932781,13.14191440494726,0.3525503468133119;11.500570370942148,0.8564740840475488,0.23960269310688687;0.6192074563696981,18.739767186980835,0.3288623455329299;9.733845101172655,2.5065645399050442,1.316304179491307;4.505635966583698,14.168162099556056,1.3028362253632637;1.4439191566264886,7.553616772283623,0.23438840429760915;3.962597722259502,1.8883578545563116,0.4715161961957278;1.2069035352005326,15.43443323726774,0.4329272087859069;1.3185228230712909,2.3250960858678233,0.3902618501004128;15.980177327952667,2.6176306319089826,0.7079111742450692;2.367821855619921,10.338550067789782,0.3572245513375344;15.900665790052502,18.756960927216184,1.171955846191128;6.960199640771703,5.988729737572434,1.0114007831428122;4.001382161312416,7.19163919813156,1.1039494127369567;8.661134343986063,16.538132263290795,1.021160365077852;5.748652772628609,2.0930826740180604,0.43068832636139925;2.7658749541463536,10.52831788773316,0.6153815336348454;19.262271758187932,18.738991491501434,0.40249740644460763;12.539736549710913,16.610476230478803,2.158513617452566;12.278199858172888,5.494330895651686,2.376572279932933;5.04442189638769,10.982273907592303,1.6760265252226212;13.201977058780765,0.848639702821051,0.7595012106736235;4.893301388850293,6.936352580383037,1.3267477034338948;12.883965960155946,5.647827156660217,1.0215180884641675;8.387983668156982,7.115460637315658,0.4435639800101664;0.3288340257361612,16.388294420537587,0.22799692465528082;12.603969286053248,18.13158552642582,1.6544704388999365;12.03590301710545,0.3159265952161155,0.2856369008957538;4.354909001445552,7.461779619173196,1.2290078470402954;9.22772786241512,7.341197172017018,0.883110581523562;16.16617226117488,15.487445481382974,0.8708833710741348;14.80105486706636,5.341323947325314,1.0570059423320095;9.429733242814777,13.202116970566484,1.3946362576528373;12.643812062851598,17.501029129653496,0.8591623866457101;1.084423836641555,14.98616265129415,0.4372867672592151;4.137909092790987,2.510335503459233,0.7688685367142164;5.755167124444013,14.237793092332952,1.2361716878495357;3.443562947437806,12.571309735330459,0.8580918656789924;18.514090959976883,10.73381242348923,1.2189504886201368;11.273423129497369,5.352381101028005,0.45000903033546086;8.95778036578437,10.70180270903379,0.35476748773108224;4.860790794533857,11.109122839395202,1.0382227149780783;17.119203907271867,12.360875204463524,0.6254489812161866;8.614590777871097,5.674519041606483,0.9132072295401609"
924,drone_0,9.544,4.729,14.026,9.981,"4.764899817203102,12.40874012998628,0.45755279695806705;4.292144167473011,3.1451394447041854,0.33200963853182675;4.822006556650178,16.014592085046303,0.9252965046278021;5.741553541692808,4.038421111401884,0.4334991524947637;4.461403799932781,13.14191440494726,0.3525503468133119;11.500570370942148,0.8564740840475488,0.23960269310688687;0.6192074563696981,18.739767186980835,0.3288623455329299;9.733845101172655,2.5065645399050442,1.316304179491307;4.505635966583698,14.168162099556056,1.3028362253632637;1.4439191566264886,7.553616772283623,0.23438840429760915;3.962597722259502,1.8883578545563116,0.4715161961957278;1.2069035352005326,15.43443323726774,0.4329272087859069;1.3185228230712909,2.3250960858678233,0.3902618501004128;15.980177327952667,2.6176306319089826,0.7079111742450692;2.367821855619921,10.338550067789782,0.3572245513375344;15.900665790052502,18.756960927216184,1.171955846191128;6.960199640771703,5.988729737572434,1.0114007831428122;4.001382161312416,7.19163919813156,1.1039494127369567;8.661134343986063,16.538132263290795,1.021160365077852;5.748652772628609,2.0930826740180604,0.43068832636139925;2.7658749541463536,10.52831788773316,0.6153815336348454;19.262271758187932,18.738991491501434,0.40249740644460763;12.539736549710913,16.610476230478803,2.158513617452566;12.278199858172888,5.494330895651686,2.376572279932933;5.04442189638769,10.982273907592303,1.6760265252226212;13.201977058780765,0.848639702821051,0.7595012106736235;4.893301388850293,6.936352580383037,1.3267477034338948;12.883965960155946,5.647827156660217,1.0215180884641675;8.387983668156982,7.115460637315658,0.4435639800101664;0.3288340257361612,16.388294420537587,0.22799692465528082;12.603969286053248,18.13158552642582,1.6544704388999365;12.03590301710545,0.3159265952161155,0.2856369008957538;4.354909001445552,7.461779619173196,1.2290078470402954;9.22772786241512,7.341197172017018,0.883110581523562;16.16617226117488,15.487445481382974,0.8708833710741348;14.80105486706636,5.341323947325314,1.0570059423320095;9.429733242814777,13.202116970566484,1.3946362576528373;12.643812062851598,17.501029129653496,0.8591623866457101;1.084423836641555,14.98616265129415,0.4372867672592151;4.137909092790987,2.510335503459233,0.7688685367142164;5.755167124444013,14.237793092332952,1.2361716878495357;3.443562947437806,12.571309735330459,0.8580918656789924;18.514090959976883,10.73381242348923,1.2189504886201368;11.273423129497369,5.352381101028005,0.45000903033546086;8.95778036578437,10.70180270903379,0.35476748773108224;4.860790794533857,11.109122839395202,1.0382227149780783;17.119203907271867,12.360875204463524,0.6254489812161866;8.614590777871097,5.674519041606483,0.9132072295401609"
925,drone_0,9.644,4.821,14.026,9.981,"4.764899817203102,12.40874012998628,0.45755279695806705;4.292144167473011,3.1451394447041854,0.33200963853182675;4.822006556650178,16.014592085046303,0.9252965046278021;5.741553541692808,4.038421111401884,0.4334991524947637;4.461403799932781,13.14191440494726,0.3525503468133119;11.500570370942148,0.8564740840475488,0.23960269310688687;0.6192074563696981,18.739767186980835,0.3288623455329299;9.733845101172655,2.5065645399050442,1.316304179491307;4.505635966583698,14.168162099556056,1.3028362253632637;1.4439191566264886,7.553616772283623,0.23438840429760915;3.962597722259502,1.8883578545563116,0.4715161961957278;1.2069035352005326,15.43443323726774,0.4329272087859069;1.3185228230712909,2.3250960858678233,0.3902618501004128;15.980177327952667,2.6176306319089826,0.7079111742450692;2.367821855619921,10.338550067789782,0.3572245513375344;15.900665790052502,18.756960927216184,1.171955846191128;6.960199640771703,5.988729737572434,1.0114007831428122;4.001382161312416,7.19163919813156,1.1039494127369567;8.661134343986063,16.538132263290795,1.021160365077852;5.748652772628609,2.0930826740180604,0.43068832636139925;2.7658749541463536,10.52831788773316,0.6153815336348454;19.262271758187932,18.738991491501434,0.40249740644460763;12.539736549710913,16.610476230478803,2.158513617452566;12.278199858172888,5.494330895651686,2.376572279932933;5.04442189638769,10.982273907592303,1.6760265252226212;13.201977058780765,0.848639702821051,0.7595012106736235;4.893301388850293,6.936352580383037,1.3267477034338948;12.883965960155946,5.647827156660217,1.0215180884641675;8.387983668156982,7.115460637315658,0.4435639800101664;0.3288340257361612,16.388294420537587,0.22799692465528082;12.603969286053248,18.13158552642582,1.6544704388999365;12.03590301710545,0.3159265952161155,0.2856369008957538;4.354909001445552,7.461779619173196,1.2290078470402954;9.22772786241512,7.341197172017018,0.883110581523562;16.16617226117488,15.487445481382974,0.8708833710741348;14.80105486706636,5.341323947325314,1.0570059423320095;9.429733242814777,13.202116970566484,1.3946362576528373;12.643812062851598,17.501029129653496,0.8591623866457101;1.084423836641555,14.98616265129415,0.4372867672592151;4.137909092790987,2.510335503459233,0.7688685367142164;5.755167124444013,14.237793092332952,1.2361716878495357;3.443562947437806,12.571309735330459,0.8580918656789924;18.514090959976883,10.73381242348923,1.2189504886201368;11.273423129497369,5.352381101028005,0.45000903033546086;8.95778036578437,10.70180270903379,0.35476748773108224;4.860790794533857,11.109122839395202,1.0382227149780783;17.119203907271867,12.360875204463524,0.6254489812161866;8.614590777871097,5.674519041606483,0.9132072295401609"
926,drone_0,9.644,4.812,14.026,9.981,"4.764899817203102,12.40874012998628,0.45755279695806705;4.292144167473011,3.1451394447041854,0.33200963853182675;4.822006556650178,16.014592085046303,0.9252965046278021;5.741553541692808,4.038421111401884,0.4334991524947637;4.461403799932781,13.14191440494726,0.3525503468133119;11.500570370942148,0.8564740840475488,0.23960269310688687;0.6192074563696981,18.739767186980835,0.3288623455329299;9.733845101172655,2.5065645399050442,1.316304179491307;4.505635966583698,14.168162099556056,1.3028362253632637;1.4439191566264886,7.553616772283623,0.23438840429760915;3.962597722259502,1.8883578545563116,0.4715161961957278;1.2069035352005326,15.43443323726774,0.4329272087859069;1.3185228230712909,2.3250960858678233,0.3902618501004128;15.980177327952667,2.6176306319089826,0.7079111742450692;2.367821855619921,10.338550067789782,0.3572245513375344;15.900665790052502,18.756960927216184,1.171955846191128;6.960199640771703,5.988729737572434,1.0114007831428122;4.001382161312416,7.19163919813156,1.1039494127369567;8.661134343986063,16.538132263290795,1.021160365077852;5.748652772628609,2.0930826740180604,0.43068832636139925;2.7658749541463536,10.52831788773316,0.6153815336348454;19.262271758187932,18.738991491501434,0.40249740644460763;12.539736549710913,16.610476230478803,2.158513617452566;12.278199858172888,5.494330895651686,2.376572279932933;5.04442189638769,10.982273907592303,1.6760265252226212;13.201977058780765,0.848639702821051,0.7595012106736235;4.893301388850293,6.936352580383037,1.3267477034338948;12.883965960155946,5.647827156660217,1.0215180884641675;8.387983668156982,7.115460637315658,0.4435639800101664;0.3288340257361612,16.388294420537587,0.22799692465528082;12.603969286053248,18.13158552642582,1.6544704388999365;12.03590301710545,0.3159265952161155,0.2856369008957538;4.354909001445552,7.461779619173196,1.2290078470402954;9.22772786241512,7.341197172017018,0.883110581523562;16.16617226117488,15.487445481382974,0.8708833710741348;14.80105486706636,5.341323947325314,1.0570059423320095;9.429733242814777,13.202116970566484,1.3946362576528373;12.643812062851598,17.501029129653496,0.8591623866457101;1.084423836641555,14.98616265129415,0.4372867672592151;4.137909092790987,2.510335503459233,0.7688685367142164;5.755167124444013,14.237793092332952,1.2361716878495357;3.443562947437806,12.571309735330459,0.8580918656789924;18.514090959976883,10.73381242348923,1.2189504886201368;11.273423129497369,5.352381101028005,0.45000903033546086;8.95778036578437,10.70180270903379,0.35476748773108224;4.860790794533857,11.109122839395202,1.0382227149780783;17.119203907271867,12.360875204463524,0.6254489812161866;8.614590777871097,5.674519041606483,0.9132072295401609"
927,drone_0,9.545,4.903,14.026,9.981,"4.764899817203102,12.40874012998628,0.45755279695806705;4.292144167473011,3.1451394447041854,0.33200963853182675;4.822006556650178,16.014592085046303,0.9252965046278021;5.741553541692808,4.038421111401884,0.4334991524947637;4.461403799932781,13.14191440494726,0.3525503468133119;11.500570370942148,0.8564740840475488,0.23960269310688687;0.6192074563696981,18.739767186980835,0.3288623455329299;9.733845101172655,2.5065645399050442,1.316304179491307;4.505635966583698,14.168162099556056,1.3028362253632637;1.4439191566264886,7.553616772283623,0.23438840429760915;3.962597722259502,1.8883578545563116,0.4715161961957278;1.2069035352005326,15.43443323726774,0.4329272087859069;1.3185228230712909,2.3250960858678233,0.3902618501004128;15.980177327952667,2.6176306319089826,0.7079111742450692;2.367821855619921,10.338550067789782,0.3572245513375344;15.900665790052502,18.756960927216184,1.171955846191128;6.960199640771703,5.988729737572434,1.0114007831428122;4.001382161312416,7.19163919813156,1.1039494127369567;8.661134343986063,16.538132263290795,1.021160365077852;5.748652772628609,2.0930826740180604,0.43068832636139925;2.7658749541463536,10.52831788773316,0.6153815336348454;19.262271758187932,18.738991491501434,0.40249740644460763;12.539736549710913,16.610476230478803,2.158513617452566;12.278199858172888,5.494330895651686,2.376572279932933;5.04442189638769,10.982273907592303,1.6760265252226212;13.201977058780765,0.848639702821051,0.7595012106736235;4.893301388850293,6.936352580383037,1.3267477034338948;12.883965960155946,5.647827156660217,1.0215180884641675;8.387983668156982,7.115460637315658,0.4435639800101664;0.3288340257361612,16.388294420537587,0.22799692465528082;12.603969286053248,18.13158552642582,1.6544704388999365;12.03590301710545,0.3159265952161155,0.2856369008957538;4.354909001445552,7.461779619173196,1.2290078470402954;9.22772786241512,7.341197172017018,0.883110581523562;16.16617226117488,15.487445481382974,0.8708833710741348;14.80105486706636,5.341323947325314,1.0570059423320095;9.429733242814777,13.202116970566484,1.3946362576528373;12.643812062851598,17.501029129653496,0.8591623866457101;1.084423836641555,14.98616265129415,0.4372867672592151;4.137909092790987,2.510335503459233,0.7688685367142164;5.755167124444013,14.237793092332952,1.2361716878495357;3.443562947437806,12.571309735330459,0.8580918656789924;18.514090959976883,10.73381242348923,1.2189504886201368;11.273423129497369,5.352381101028005,0.45000903033546086;8.95778036578437,10.70180270903379,0.35476748773108224;4.860790794533857,11.109122839395202,1.0382227149780783;17.119203907271867,12.360875204463524,0.6254489812161866;8.614590777871097,5.674519041606483,0.9132072295401609"
928,drone_0,9.545,4.895,14.026,9.981,"4.764899817203102,12.40874012998628,0.45755279695806705;4.292144167473011,3.1451394447041854,0.33200963853182675;4.822006556650178,16.014592085046303,0.9252965046278021;5.741553541692808,4.038421111401884,0.4334991524947637;4.461403799932781,13.14191440494726,0.3525503468133119;11.500570370942148,0.8564740840475488,0.23960269310688687;0.6192074563696981,18.739767186980835,0.3288623455329299;9.733845101172655,2.5065645399050442,1.316304179491307;4.505635966583698,14.168162099556056,1.3028362253632637;1.4439191566264886,7.553616772283623,0.23438840429760915;3.962597722259502,1.8883578545563116,0.4715161961957278;1.2069035352005326,15.43443323726774,0.4329272087859069;1.3185228230712909,2.3250960858678233,0.3902618501004128;15.980177327952667,2.6176306319089826,0.7079111742450692;2.367821855619921,10.338550067789782,0.3572245513375344;15.900665790052502,18.756960927216184,1.171955846191128;6.960199640771703,5.988729737572434,1.0114007831428122;4.001382161312416,7.19163919813156,1.1039494127369567;8.661134343986063,16.538132263290795,1.021160365077852;5.748652772628609,2.0930826740180604,0.43068832636139925;2.7658749541463536,10.52831788773316,0.6153815336348454;19.262271758187932,18.738991491501434,0.40249740644460763;12.539736549710913,16.610476230478803,2.158513617452566;12.278199858172888,5.494330895651686,2.376572279932933;5.04442189638769,10.982273907592303,1.6760265252226212;13.201977058780765,0.848639702821051,0.7595012106736235;4.893301388850293,6.936352580383037,1.3267477034338948;12.883965960155946,5.647827156660217,1.0215180884641675;8.387983668156982,7.115460637315658,0.4435639800101664;0.3288340257361612,16.388294420537587,0.22799692465528082;12.603969286053248,18.13158552642582,1.6544704388999365;12.03590301710545,0.3159265952161155,0.2856369008957538;4.354909001445552,7.461779619173196,1.2290078470402954;9.22772786241512,7.341197172017018,0.883110581523562;16.16617226117488,15.487445481382974,0.8708833710741348;14.80105486706636,5.341323947325314,1.0570059423320095;9.429733242814777,13.202116970566484,1.3946362576528373;12.643812062851598,17.501029129653496,0.8591623866457101;1.084423836641555,14.98616265129415,0.4372867672592151;4.137909092790987,2.510335503459233,0.7688685367142164;5.755167124444013,14.237793092332952,1.2361716878495357;3.443562947437806,12.571309735330459,0.8580918656789924;18.514090959976883,10.73381242348923,1.2189504886201368;11.273423129497369,5.352381101028005,0.45000903033546086;8.95778036578437,10.70180270903379,0.35476748773108224;4.860790794533857,11.109122839395202,1.0382227149780783;17.119203907271867,12.360875204463524,0.6254489812161866;8.614590777871097,5.674519041606483,0.9132072295401609"
929,drone_0,9.645,4.786,14.026,9.981,"4.764899817203102,12.40874012998628,0.45755279695806705;4.292144167473011,3.1451394447041854,0.33200963853182675;4.822006556650178,16.014592085046303,0.9252965046278021;5.741553541692808,4.038421111401884,0.4334991524947637;4.461403799932781,13.14191440494726,0.3525503468133119;11.500570370942148,0.8564740840475488,0.23960269310688687;0.6192074563696981,18.739767186980835,0.3288623455329299;9.733845101172655,2.5065645399050442,1.316304179491307;4.505635966583698,14.168162099556056,1.3028362253632637;1.4439191566264886,7.553616772283623,0.23438840429760915;3.962597722259502,1.8883578545563116,0.4715161961957278;1.2069035352005326,15.43443323726774,0.4329272087859069;1.3185228230712909,2.3250960858678233,0.3902618501004128;15.980177327952667,2.6176306319089826,0.7079111742450692;2.367821855619921,10.338550067789782,0.3572245513375344;15.900665790052502,18.756960927216184,1.171955846191128;6.960199640771703,5.988729737572434,1.0114007831428122;4.001382161312416,7.19163919813156,1.1039494127369567;8.661134343986063,16.538132263290795,1.021160365077852;5.748652772628609,2.0930826740180604,0.43068832636139925;2.7658749541463536,10.52831788773316,0.6153815336348454;19.262271758187932,18.738991491501434,0.40249740644460763;12.539736549710913,16.610476230478803,2.158513617452566;12.278199858172888,5.494330895651686,2.376572279932933;5.04442189638769,10.982273907592303,1.6760265252226212;13.201977058780765,0.848639702821051,0.7595012106736235;4.893301388850293,6.936352580383037,1.3267477034338948;12.883965960155946,5.647827156660217,1.0215180884641675;8.387983668156982,7.115460637315658,0.4435639800101664;0.3288340257361612,16.388294420537587,0.22799692465528082;12.603969286053248,18.13158552642582,1.6544704388999365;12.03590301710545,0.3159265952161155,0.2856369008957538;4.354909001445552,7.461779619173196,1.2290078470402954;9.22772786241512,7.341197172017018,0.883110581523562;16.16617226117488,15.487445481382974,0.8708833710741348;14.80105486706636,5.341323947325314,1.0570059423320095;9.429733242814777,13.202116970566484,1.3946362576528373;12.643812062851598,17.501029129653496,0.8591623866457101;1.084423836641555,14.98616265129415,0.4372867672592151;4.137909092790987,2.510335503459233,0.7688685367142164;5.755167124444013,14.237793092332952,1.2361716878495357;3.443562947437806,12.571309735330459,0.8580918656789924;18.514090959976883,10.73381242348923,1.2189504886201368;11.273423129497369,5.352381101028005,0.45000903033546086;8.95778036578437,10.70180270903379,0.35476748773108224;4.860790794533857,11.109122839395202,1.0382227149780783;17.119203907271867,12.360875204463524,0.6254489812161866;8.614590777871097,5.674519041606483,0.9132072295401609"
930,drone_0,9.646,4.777,14.026,9.981,"4.764899817203102,12.40874012998628,0.45755279695806705;4.292144167473011,3.1451394447041854,0.33200963853182675;4.822006556650178,16.014592085046303,0.9252965046278021;5.741553541692808,4.038421111401884,0.4334991524947637;4.461403799932781,13.14191440494726,0.3525503468133119;11.500570370942148,0.8564740840475488,0.23960269310688687;0.6192074563696981,18.739767186980835,0.3288623455329299;9.733845101172655,2.5065645399050442,1.316304179491307;4.505635966583698,14.168162099556056,1.3028362253632637;1.4439191566264886,7.553616772283623,0.23438840429760915;3.962597722259502,1.8883578545563116,0.4715161961957278;1.2069035352005326,15.43443323726774,0.4329272087859069;1.3185228230712909,2.3250960858678233,0.3902618501004128;15.980177327952667,2.6176306319089826,0.7079111742450692;2.367821855619921,10.338550067789782,0.3572245513375344;15.900665790052502,18.756960927216184,1.171955846191128;6.960199640771703,5.988729737572434,1.0114007831428122;4.001382161312416,7.19163919813156,1.1039494127369567;8.661134343986063,16.538132263290795,1.021160365077852;5.748652772628609,2.0930826740180604,0.43068832636139925;2.7658749541463536,10.52831788773316,0.6153815336348454;19.262271758187932,18.738991491501434,0.40249740644460763;12.539736549710913,16.610476230478803,2.158513617452566;12.278199858172888,5.494330895651686,2.376572279932933;5.04442189638769,10.982273907592303,1.6760265252226212;13.201977058780765,0.848639702821051,0.7595012106736235;4.893301388850293,6.936352580383037,1.3267477034338948;12.883965960155946,5.647827156660217,1.0215180884641675;8.387983668156982,7.115460637315658,0.4435639800101664;0.3288340257361612,16.388294420537587,0.22799692465528082;12.603969286053248,18.13158552642582,1.6544704388999365;12.03590301710545,0.3159265952161155,0.2856369008957538;4.354909001445552,7.461779619173196,1.2290078470402954;9.22772786241512,7.341197172017018,0.883110581523562;16.16617226117488,15.487445481382974,0.8708833710741348;14.80105486706636,5.341323947325314,1.0570059423320095;9.429733242814777,13.202116970566484,1.3946362576528373;12.643812062851598,17.501029129653496,0.8591623866457101;1.084423836641555,14.98616265129415,0.4372867672592151;4.137909092790987,2.510335503459233,0.7688685367142164;5.755167124444013,14.237793092332952,1.2361716878495357;3.443562947437806,12.571309735330459,0.8580918656789924;18.514090959976883,10.73381242348923,1.2189504886201368;11.273423129497369,5.352381101028005,0.45000903033546086;8.95778036578437,10.70180270903379,0.35476748773108224;4.860790794533857,11.109122839395202,1.0382227149780783;17.119203907271867,12.360875204463524,0.6254489812161866;8.614590777871097,5.674519041606483,0.9132072295401609"
