Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
86,drone_7,10.388,1.772,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
87,drone_3,16.018,16.388,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
87,drone_7,10.530,1.913,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
88,drone_3,16.043,16.390,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
88,drone_7,10.671,2.054,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
89,drone_3,15.967,16.492,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
89,drone_7,10.813,2.195,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
90,drone_3,15.992,16.493,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
90,drone_7,10.954,2.337,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
91,drone_3,16.117,16.559,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
91,drone_7,11.096,2.478,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
92,drone_3,16.141,16.525,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
92,drone_7,11.237,2.620,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
93,drone_3,16.066,16.391,13.431,4.032,"9.37138815060013,7.763987898419307,0.46188957683641085;7.70441609243051,9.913513318269771,0.4163773982895722;2.1882431953287096,12.58840885322951,0.2609009584613886;16.222402978465748,12.054179409037893,0.39839234308251736;6.205282523020051,3.114103569229223,0.476254174555968;4.325595911274462,4.048971290729971,2.483145559375531;16.322296033854528,14.766624663574927,1.3045824458005313;10.286582887037987,14.919684922071703,0.8317146107249289;4.079506251812747,13.745913482812917,1.2858888110754743;9.649122282005264,12.54180952175624,0.2027529052193266;9.475253980328358,16.460928427615972,1.6812206403003676;9.97593180276817,7.267677786245862,0.2597585190444827;3.3912777628559194,12.63173618552804,0.2675965533959704;0.7004968940099146,4.006319528848318,0.23279914961292525;13.2851448207798,17.438244025302147,1.0574528652653896;8.041446485557012,2.8841916692608374,0.23185866832034763;10.753189366560736,17.960017238673004,0.8567427308009102;10.803357622074584,8.200853315701329,0.3325604201337601;15.472000992100536,8.543912554871802,1.193578024918365;9.965988562163185,14.642190032818,1.9969865459452385;18.572630680723027,13.931875929130806,0.3387845207175436;4.040891827581464,1.4691331578984559,0.6235424452489056;17.436034848537716,17.088562576267044,1.1306928357633472;12.144167805992835,13.775082853524417,0.81451446748351;6.965366680838013,8.921641274440665,1.3280889493360069;18.545277945787866,16.910376500913,1.1403224660858107;15.448242318332813,10.343213001986772,0.9459524315004602;13.350650054529865,18.187648389429626,0.8864937122829768;17.058032736563252,10.572388019062048,1.8985178063394554;7.626291434958828,1.6286952575710831,1.0847485358561693;5.243889662051025,16.106418440019493,2.107086497968786;0.48451782412406186,18.87383942798929,0.3569077676465507;5.886164127794849,10.294526838891024,0.29233291477501017;17.876823065097476,17.478763164958714,1.0501231839417042;5.692324708268748,12.969363786774323,0.7303032623429585;8.310306009114774,9.27730460619019,2.1812751251344578;14.819843100587102,16.18389544833421,0.9673482285788881"
