Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
62,drone_1,12.920,6.452,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
62,drone_2,12.116,6.964,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
62,drone_4,12.170,5.019,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
62,drone_6,10.256,7.587,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
62,drone_7,12.283,6.358,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
62,drone_8,7.902,7.837,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
63,drone_0,12.499,5.571,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
63,drone_1,13.010,6.479,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
63,drone_2,12.010,6.988,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
63,drone_4,12.138,5.057,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
63,drone_6,10.057,7.600,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
63,drone_7,12.261,6.483,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
63,drone_8,7.722,7.924,6.531,7.919,"14.235455283908912,14.711158999449033,0.40812455029128447;16.253961796009335,9.677772584112821,0.6099742144899254;17.02226783044042,2.2294423688294667,1.8430832522614564;8.573404115429192,11.047728059947943,0.4587830623867581;13.266723294470015,14.415027058106102,1.3996447240549896;1.252447983586499,19.370860601799205,0.4227426543425702;17.69463345866849,6.056962336586408,0.6390572231514382;1.1230706309225709,14.611030521347129,0.4853410940249366;6.481170370502542,12.763682399476822,2.280700290492698;9.98302311104404,9.166148406757141,1.1588471294608178;16.86163060088581,13.159042141969946,1.0102354981461499;11.092702043917276,6.21085116410284,0.7470704293083157;3.713393383159794,2.859002768715884,0.39664888301210566;8.589665027994982,14.873709774827361,1.1088349284780383;18.98040507248089,14.305792577871554,0.3365549283839375;10.777765708451295,4.578033441526338,0.8849638690883411;19.096307554642014,6.129545557564278,0.6680239516537076;3.353473441107501,6.70818290431254,1.0691233531727644;4.037142262918812,16.367112446391147,1.341160463438953;17.710988558229698,6.080123034054805,0.4812253014023069;4.419632870279411,12.674151365101848,0.282697571336669;16.448114263069144,13.961477462254184,1.6075159844951115;12.345343356273574,18.22082146770547,0.3199876940108657;9.474581740594973,2.4984856177081234,1.3521383654201238;9.575910924390687,5.970854723147875,1.3953759887586334;2.914958994090157,0.9714571834086443,0.47846842115322097;10.583661908135761,3.2624225225070687,1.105273994542705;7.080075095354103,3.189276236580331,0.8434983377673804;5.506213440736399,15.871949851610351,0.9024761726878938;12.889653203435861,15.017106758892597,0.9225259106832824;2.3602326596226617,6.776426929463296,0.31734067511834985;18.504549148394332,2.852088470337398,1.2820661036173513;2.3519433841679778,6.690871179686408,0.37977721348406335;11.653489212902457,15.801858996711601,1.0112261859375284;6.213567827442363,13.352145125047581,0.9028028747820679;1.6232052476738357,17.54126605328336,1.109461749440261;17.286627358124104,17.702500151247975,0.8273852450470295;12.205596568080757,9.899244645794202,2.430258381850535;10.283187339921493,4.659160113264784,0.36223987437414457;5.302445711533618,17.58645871940626,0.9298598025006544;17.617385552373467,1.5107444880750878,0.9479941122577392"
