Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
26,drone_6,10.880,12.861,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
26,drone_7,13.616,10.754,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
26,drone_8,11.287,13.708,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
27,drone_0,6.508,15.359,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
27,drone_1,6.392,6.118,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
27,drone_2,10.137,12.472,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
27,drone_3,8.284,5.542,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
27,drone_4,9.868,12.134,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
27,drone_6,10.983,12.754,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
27,drone_7,13.422,10.803,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
27,drone_8,11.424,13.561,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
28,drone_0,6.697,15.293,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
28,drone_1,6.479,6.083,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
28,drone_2,10.244,12.370,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
28,drone_3,8.484,5.544,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
28,drone_4,9.995,12.018,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
28,drone_6,11.087,12.648,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
28,drone_7,13.224,10.829,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
28,drone_8,11.533,13.429,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
29,drone_0,6.890,15.241,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
29,drone_1,6.666,6.111,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
29,drone_2,10.350,12.266,11.026,11.248,"11.519500436599122,7.67211881460382,0.45522675006849217;12.52222158168626,14.56867037091711,0.6322980946924073;16.73227852622926,16.112798771611928,1.0077015680961985;2.448718012967852,16.70668596877356,0.3416257000839161;1.428315170123246,4.50953328302508,1.0151736151478197;2.172300866224613,7.425185012478296,0.23871922938786866;2.3994957561109587,8.234440735994864,0.3062520189101728;6.572960659816134,11.010811735261262,0.9836475345401783;1.6283125409782842,16.937309191464493,0.4905680830652435;17.334943509501837,3.8973499123616793,0.45734681813273176;0.9327137842871893,6.158630808465356,0.27327666180851307;15.58472836737329,4.950271493733053,2.4607265995664833;4.182697118919254,9.798616870955719,1.7635753361092865;4.789744957576969,9.915397287614534,0.38341536960720846;15.40476283947956,0.8022490004417846,0.3986494063512222;8.3628482587367,2.7851593263751546,1.0078792974966204;6.682555144815517,7.532990251661424,0.8740523482421128;2.4190763370701123,10.778571242206311,2.0174967703400215;8.548125810608504,7.8963527419828266,1.9124391487245596;12.157787109295132,7.978834622219132,0.9909195667424568;9.791077846640672,1.3498407712335574,0.8786829291954801;4.366636116938475,3.725623769216841,0.30991993187582023;5.640938059744769,11.773314408651634,2.4487633494715797"
