Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
76,drone_4,5.063,6.788,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
76,drone_5,9.471,4.942,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
76,drone_6,3.846,5.290,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
76,drone_9,7.998,1.114,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
77,drone_0,6.084,7.438,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
77,drone_1,3.652,6.150,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
77,drone_2,9.619,1.976,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
77,drone_4,4.935,6.634,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
77,drone_5,9.456,4.944,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
77,drone_6,3.760,5.140,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
77,drone_9,7.799,1.093,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
78,drone_0,5.884,7.422,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
78,drone_1,3.511,6.009,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
78,drone_2,9.485,1.827,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
78,drone_4,4.801,6.485,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
78,drone_5,9.541,5.046,3.109,3.385,"7.084132697087101,5.37737375853931,1.0974741283475509;5.548114822512333,13.312076990953118,1.2316320001735903;18.201328158801587,19.50040746761688,0.48783095829960943;6.060681566922705,6.035255106292107,0.7966353400882157;8.33723265659949,12.5579476659771,0.37812305443017646;7.830111253301027,17.993828678795044,1.2689428996086531;13.032289978670542,0.41513205046053686,0.3008763421578653;18.544779935829343,12.879266004635765,0.4093448695948667;6.424856001919787,2.8546426347420493,0.6661603488973242;3.615969295390995,13.328404023720761,0.20784587791207962;7.891062715003865,16.871288313317564,0.34879173490480536;5.041913216520665,8.802771375840067,0.8534358601705725;14.183630118006551,18.219242185550982,0.32671966676095865;16.71059902459674,2.092142495865979,0.34962986468196144;2.130486384212729,8.875260214698931,1.6514000197868968;18.478109930034236,3.2312768500823785,0.3833150980678543;8.326340644366605,9.535718968940008,0.30634303213465486;4.843054043829503,11.965320561388195,0.404875010429931;18.809221567343947,13.808720389447874,0.7669350339344954;11.849875653070187,13.693274764570665,0.346121877433052;15.314121115465035,5.977399727172858,0.34661230648297126;7.78176838078609,3.5645188246617545,1.7023496270835632;2.426789373702121,0.8062692746125735,0.3631445297297795;14.2729557858264,3.67241935500797,0.493391449160222;3.8145755331116513,17.284097092880845,0.35140191812095933;6.12730372350226,17.608998717772977,0.4560467274446158;2.5671031510350595,14.285873459275894,0.7016379967495401;10.004044484235937,11.417750505251902,0.7103788865619186;16.51845860202163,15.196201882564509,1.1518444198543003;14.176703498623276,10.927264987279017,1.351976558451483;16.12424678001731,1.4753967827540593,0.3144866420039289;2.85350523117258,9.96188076650452,1.3018779020149787;2.871447849947389,9.337126010694929,2.354612868903988"
