Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
537,drone_8,11.843,13.909,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
538,drone_8,11.956,13.858,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
539,drone_8,12.105,13.844,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
540,drone_8,12.182,13.809,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
541,drone_8,12.263,13.875,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
542,drone_8,12.244,13.841,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
543,drone_8,12.234,13.906,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
544,drone_8,12.123,13.872,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
545,drone_8,11.989,13.938,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
546,drone_8,11.937,14.007,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
547,drone_8,11.925,13.976,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
548,drone_8,11.945,13.920,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
549,drone_8,12.046,13.893,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
550,drone_8,12.134,13.834,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
551,drone_8,12.196,13.849,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
552,drone_8,12.218,13.848,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
553,drone_8,12.209,13.880,14.120,7.978,"16.202353580654567,2.5838142484344946,0.4161824235207843;0.6852361125034994,15.764929101379522,0.2724152824103485;12.38770330477323,11.365727000650953,1.235284493098028;18.51254913266389,5.856321538530201,0.4705796553170583;14.703648536439557,13.397964842846216,1.9555413947641116;5.581710614237771,2.3088555262960915,1.0362407781020186;6.237563156167933,12.136413877540692,1.0718782372510365;2.962792709657916,2.322562018922403,0.37000497650997344;7.227792573610105,7.944370781187403,2.2085399905692418;11.58243716526167,7.200891026728066,0.3132332347007474;15.039078658352427,11.214015659862108,1.0720603128773933;5.534640013341241,18.42239996645257,0.3544822569720709;12.70944772899262,15.562824641120796,0.7462321466067738;15.866917685825934,18.363893705194098,0.4979443755018932;10.122355317428728,3.2906662578088395,2.023984656914579;11.291912851267782,9.535221752562771,0.47079288482725523;16.091113967755284,4.885904466720586,0.7813796605410351;5.101869265780702,7.184663588719178,1.9254330645026017;7.468092286937908,11.613398940025428,2.3022889910841364;9.11288457041003,3.6379908980656435,0.49209337739402753;3.451893988874583,12.634484856996337,0.4044213445745857;3.9906618898857023,10.027664374537355,1.6203572507748625;14.385171010676093,12.293167248510363,1.2829690528427662;4.620375919631606,11.19737040294789,0.74362082325744;13.431952236633025,17.926767641900636,1.195017954376342;5.919941343049655,11.608109318816204,1.3718268493811305;6.1024119413910345,18.21851512565009,0.9569606940337458;4.596051694612321,9.442720424098233,0.7149884107793723;8.58610724912889,1.9043259755454067,1.306905971648325;11.718528838953235,12.127486619741676,1.3431947862931788;11.018846111227276,3.51267286037407,2.489170824408925"
