Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
189,drone_5,6.987,10.298,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
189,drone_8,6.207,10.007,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
190,drone_5,7.059,10.211,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
190,drone_8,6.173,10.010,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
191,drone_5,7.030,10.223,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
191,drone_8,6.238,9.913,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
192,drone_5,7.102,10.136,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
192,drone_8,6.204,9.916,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
193,drone_5,7.074,10.149,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
193,drone_8,6.270,10.019,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
194,drone_5,6.945,10.262,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
194,drone_8,6.235,10.022,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
195,drone_5,6.917,10.275,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
195,drone_8,6.101,10.090,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
196,drone_5,6.989,10.188,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
196,drone_8,5.961,10.190,9.899,15.639,"7.61498785419253,4.350896763139405,1.0078896175611165;17.146566362059872,11.417729531222614,0.48464498599350714;2.8894072987301564,7.775815413107071,0.40593955028174944;6.9410443803675985,17.090665021314223,1.0116748909741302;6.85288182144269,17.11769600674264,1.2885008294465239;4.966976531386436,13.266387243183559,1.7487455531283596;10.157428551509373,5.046529452694441,0.2430345036635338;0.674251073271207,3.6857201288116466,0.4670881412351502;3.5242659738699977,16.046395755882905,0.8819860462722886;17.291263887073875,4.0972421018281295,2.329769458207494;18.32056301180461,14.74739560342133,0.24559030967283885;6.070843103023328,3.183364073538943,0.4411303389935827;13.387771834272579,15.703922225371961,0.406120840423427;11.02425346916813,7.669477254126364,0.636411773046731;6.810928312322188,12.714743097969306,2.0907716022439256;16.820602854890527,4.0767357822034285,1.8298881003154794;2.771423157421816,16.60680796091734,1.5430337736411492;13.10050513390502,2.375222150216832,0.3315810133164421;8.490870398772385,9.293386094733714,1.2975798110711625;14.569916313972815,4.79153577027115,0.6229796201262708;4.434508414180244,12.94189060544275,0.6032242631751575;5.213011040787492,9.25229760537919,0.49865751606616254;17.327644489316334,9.535019341840858,0.7136418595945352;16.471008753994408,15.043406349094644,1.0962908495469963;11.955587075820112,0.4372983357588801,0.21119244283454003;1.35798821740064,13.932371578186935,0.7830903176369173;6.6617866468122235,12.81724616770799,0.3609336138064428;16.501712212539935,6.9584799753537325,0.49805989467351275;4.897031430315417,9.526141152533572,0.267812694730355;5.910458897029105,1.9803355033714944,0.3367097697658029;11.92201910702972,2.4601981199441427,0.9359256196384551;6.115292190163154,14.654466428624417,0.6754578434197631;12.818279390685289,10.233163731667261,1.384592988949064"
