Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
63,drone_6,0.696,8.710,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
63,drone_7,0.932,10.917,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
63,drone_8,0.804,7.648,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
63,drone_9,3.311,6.078,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
64,drone_0,2.093,3.742,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
64,drone_1,1.620,5.278,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
64,drone_2,4.635,4.879,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
64,drone_3,1.340,6.717,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
64,drone_4,0.252,8.584,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
64,drone_5,0.766,9.728,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
64,drone_6,0.731,8.542,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
64,drone_7,0.878,10.724,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
64,drone_8,0.791,7.477,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
64,drone_9,3.478,5.969,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
65,drone_0,2.230,3.597,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
65,drone_1,1.540,5.095,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
65,drone_2,4.777,4.738,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
65,drone_3,1.447,6.582,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
65,drone_4,0.266,8.413,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
65,drone_5,0.627,9.661,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
65,drone_6,0.691,8.375,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
65,drone_7,0.924,10.632,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
65,drone_8,0.843,7.313,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
65,drone_9,3.635,5.845,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
66,drone_0,2.370,3.453,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
