Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
45,drone_6,5.961,11.310,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
45,drone_7,4.204,10.215,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
45,drone_8,0.780,14.355,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
45,drone_9,5.199,11.552,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
46,drone_0,4.373,9.384,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
46,drone_1,4.720,12.073,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
46,drone_2,-100.000,-100.000,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
46,drone_3,3.988,10.745,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
46,drone_4,2.714,9.848,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
46,drone_5,3.934,11.456,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
46,drone_6,5.944,11.138,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
46,drone_7,4.099,10.110,2.421,8.201,"7.174853062902846,1.57959561861149,1.109268580189168;15.395364890825464,19.360571857722977,0.26997146741755773;16.569187547060956,13.217363796377766,2.237194673543147;8.056931365459667,5.02184146147115,0.7063459882856573;12.193938810513112,17.46280841349313,2.1799701671437037;1.9251588926012082,13.19714227941871,0.9687583123693788;15.149723074937885,4.853822864151142,0.3546565012848216;19.138315451193,4.4689271452531925,0.6701315858672733;2.6011983116556237,1.4025041699287963,0.7842915425432095;7.240478248781026,3.5141397201633597,0.31878912654499897;18.115859070531847,8.735016055902951,1.178110920964191;3.017833774338251,15.248198107980722,0.29404084973243255;18.159522054261927,9.712807483662951,0.4722055396454748;17.411122266593864,19.44713429445682,0.21284461603374813;6.72863121011863,4.235813269237129,1.0864956720237584;14.21185490214302,19.17649800243253,0.4493056571095513;16.699167960875727,7.827344033630071,1.3467106358851322;11.229640692520586,2.4708978043934797,0.3223149219001373;18.18171246063941,5.188343830938396,0.38242847307811545;18.414906950809776,14.700188208249477,0.4224331056078008;15.042401385054362,3.503556180088904,1.8072988234366365;14.892600261439112,3.6511401479417227,0.41354470541861416;12.888867635659556,10.982880136004026,1.6504196496362589;1.4839365644771743,4.254869914668494,0.2607196810687299;11.845834377344985,6.079370353875538,1.6959161482692835;2.9873690980349608,13.560890812304322,1.5344667170152622;15.721238733336502,2.9297385338951796,0.3113649030595274;10.462794020003393,19.29043607928184,0.2650664989115806;11.342959275014605,14.805996366081658,1.893508418800874;10.316164047781164,13.609680292997867,0.24774733384408154;18.086886321139062,14.953149572885778,0.44487244603987613;4.848988785440929,15.751547462741915,1.1476698366062028;11.834463218685446,6.56746105761877,0.2757908373762148;3.0880780237899073,13.444664263092942,0.47474169775590225;3.6350632046444105,13.918129969526905,0.9720862787707892;6.452386311115075,3.001813522643932,1.0963501261102688;9.854018204219068,8.653675129019271,0.3749710526296169;17.086162650968582,13.12945063684559,1.090698830269338;13.837882907565422,3.0752060243528105,0.2238297252016183;9.20390115042818,7.232765514622232,0.29142633022751196;13.66405425905531,7.137782011752727,1.850402227852486;6.53255321536747,0.8782291560798441,0.3809901640688534;2.5807037593284456,18.58745687205373,0.2671991233529557;14.309596953791662,9.33526352289582,1.8440093821451453"
