Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
569,drone_2,1.610,9.649,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
570,drone_2,1.459,9.776,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
571,drone_2,1.356,9.882,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
572,drone_2,1.284,9.970,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
573,drone_2,1.237,10.005,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
574,drone_2,1.269,10.039,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
575,drone_2,1.321,9.973,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
576,drone_2,1.473,9.843,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
577,drone_2,1.616,9.703,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
578,drone_2,1.771,9.577,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
579,drone_2,1.927,9.451,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
580,drone_2,2.019,9.391,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
581,drone_2,2.037,9.405,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
582,drone_2,1.955,9.519,11.910,17.703,"3.958173756569375,10.006341501978747,1.5508209823049008;3.9045740480867064,6.552148808947958,1.170389224459997;3.0134054361383207,11.835527318648005,1.927811004236546;2.224327942096463,4.011580593172775,0.2475334322009104;3.7889297026148596,14.228697646658553,1.2978205081778729;1.0358554611697368,12.589881843377277,0.2881287196609097;4.068176075373222,10.151458465393397,1.7262310291834586;10.73976260152612,2.5847593902557104,1.1917323943781417;6.195333767821285,18.8063732690195,0.30709285858944263;16.68758255244455,6.1189071858138915,0.31186454080943;10.797850928995198,4.839991582416061,2.270570813331682;11.648773574924046,8.14261198923175,0.2104327941680968;18.595949735053047,12.090655935445032,1.0784411032696402;13.816639440184755,4.921200595541146,0.49230293892065263;10.896876117523647,9.58912650150954,0.22335027526797316;9.327821290228291,10.610554857951515,0.2703429688886449;4.02472043941724,5.610132320109015,0.7419056071642317;2.628073467938086,15.925487974799276,1.3158004962253256;8.518233480796662,9.873647687285807,1.3522872119952358;5.761107008271827,5.3676612881289145,0.21321642075034553;5.862806663057047,0.890903851391062,0.7813722122183937;0.4607266825825198,10.988080341860503,0.4594464702445641;13.018340519665928,6.655758039843527,0.30389175067186336;14.49460031223891,13.625665173081416,1.912070794825659;5.634379905546464,2.3958924389738576,0.28780392684843614;10.232852060924833,4.185609573773184,0.8899088260291422;10.600387912055776,0.9835814304619821,0.41489846014593135;2.0386043268564995,8.12369371758967,0.410416733762222;3.057761715751986,11.799792095254986,0.4090762053979283;2.9932246318406968,6.340997055610327,0.26219876907304707;7.095827371556164,13.200291331701038,0.47208394973760953;17.051525434242347,2.8709545151076084,0.35039923078858326;18.21262268062812,11.668893657579805,1.0011879569286655;3.506080143179577,1.9014237339499664,1.5890768844495615;17.3942023431425,16.237572158701724,1.3242488721535814;10.59921869554707,5.200977462108194,0.9021085959897936;3.6663016379163857,13.222018153790746,2.412117903662527;17.643893423652894,1.908506622416291,1.3139890688865212"
