Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
61,drone_2,-100.000,-100.000,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
61,drone_3,17.419,9.071,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
61,drone_4,15.784,8.269,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
61,drone_5,14.951,8.489,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
61,drone_6,16.788,8.752,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
61,drone_7,15.377,8.915,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
61,drone_9,14.348,8.153,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
62,drone_0,13.967,9.161,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
62,drone_1,16.336,7.868,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
62,drone_3,17.385,8.902,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
62,drone_4,15.867,8.172,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
62,drone_5,15.039,8.397,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
62,drone_6,16.811,8.606,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
62,drone_7,15.525,8.903,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
62,drone_9,14.464,8.026,15.943,7.111,"3.595222167050337,7.221408940706565,0.3967735019507045;8.834408316455495,12.641789051632287,0.38141616824118485;19.331858669974814,18.80650907533683,0.29703909646816573;17.385658241729818,11.544364317015999,0.3499837257069631;6.196198031053967,3.1376594664598603,1.1306356429330884;8.29612741900719,3.5890482628169247,0.9262167739036764;11.310106684394546,8.555718249274541,1.0849138246385495;13.38565261612882,6.0222267722940055,0.37304829323049193;2.510612738000492,4.822253358464973,2.3267397055313057;19.280830928612584,0.9311031753478459,0.3758968228564975;1.414463813642332,3.502010906473075,1.1903248470714214;9.818546389599865,1.942135265328551,0.35728705491530455;13.619063338103349,7.503969226602361,0.29119258259325054;7.969615817337543,11.75664927604564,0.968920700722685;2.4529162056299505,8.745226529732031,0.3793070458199984;11.19562948630362,0.6996314396232606,0.23609429059926862;4.363026098094307,13.684451430785243,1.3469366595759757;3.6894274196620227,1.2327600114237172,0.4872528018689379;19.594608308553802,19.28459923011632,0.20368841965466708;13.697452550428887,16.017562201140066,0.6879121114482554;7.889909953662743,8.944833340126142,0.9874397941382332;13.130237166293858,5.255049542554192,1.0952807097557058;7.117119410151441,13.078459415142696,0.479524140596166;7.1436096279677175,14.094099663627393,0.6324975751435875;18.367799167521103,5.990261447295336,0.45778385965093865;6.146244179506074,11.505206321252668,0.23289806005338684;16.242482282092194,18.881956312408374,0.9458049214546547;4.451780136408884,9.707133567141604,0.4909981088651335;4.269003730632915,2.0501017893192808,0.20060899970773627;5.5870302645073115,9.502414209539936,0.891117783828534;10.836060955333174,17.67832764823869,1.7834154925689016;6.709201543205577,3.609644329037397,2.491769374868429;7.323487815250239,16.457279291505717,0.2645448980218307;8.101843906633325,10.192623238240223,2.403043633143597"
