Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
775,drone_9,4.849,13.408,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
776,drone_0,5.691,12.911,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
776,drone_1,4.798,14.826,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
776,drone_2,4.106,13.261,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
776,drone_3,4.067,10.275,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
776,drone_4,4.522,11.697,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
776,drone_5,5.084,12.765,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
776,drone_6,5.124,13.967,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
776,drone_7,4.228,10.943,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
776,drone_8,5.739,15.685,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
776,drone_9,4.842,13.482,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
777,drone_0,5.649,12.979,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
777,drone_1,4.762,14.658,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
777,drone_2,4.085,13.290,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
777,drone_3,3.989,10.197,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
777,drone_4,4.494,11.754,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
777,drone_5,4.957,12.741,12.183,5.531,"3.8638907480916003,5.245661496432551,1.6352149856879783;19.635603506452547,13.685265093873296,0.33164118949897925;17.21626676867254,9.00228464264353,0.9322533174839078;15.42303157875948,12.108302471975986,0.859958809018019;14.28981884232409,17.65110929264495,0.36145893269274865;12.978179186015643,12.608801495802053,0.2571060204412211;17.892437700115366,18.239112125370333,0.813944254490087;18.911850824468235,8.857560938888575,1.020047592375924;16.787734634713935,13.746717695841003,0.648487101258492;3.2262705461063437,1.8433064974986506,0.7300204176281802;3.43076307090291,12.523952160648266,0.4861257025042657;6.696169170296552,4.071054370507708,1.0382379484025765;1.0223093503101366,15.837600350364173,0.9039661941646481;12.995977163140543,11.921331417070906,0.3911717149053202;16.42995033464017,14.94796237574008,0.23522949486912523;18.403723121566276,2.2193060634446935,0.4749348604496732;10.061473185619711,1.6433606695138514,1.0237566033151901;9.46920504689322,16.249520205778627,1.9490807431624295;17.98191604153801,10.013880260285209,0.7007115883334172;7.220777350612244,18.33927647257423,1.2728267688642452;0.9006993005736447,7.707129491811008,0.4170067116625398;7.043594519262043,13.98140699752508,1.0583220238845825;8.693303906891002,11.57625965959857,2.192832746438303;2.5778821299700825,10.79668042732563,0.3728882708202713;2.092211243405884,6.80163113907965,1.1328190704482695;4.928630763790771,8.121626330525295,1.7961785586809453;6.192786638227914,11.162981683365665,1.1654226768334555;3.5611613485543816,2.2339149162575924,0.2133588093011957;1.9586699354594144,7.042900460555228,0.4944236124358937;13.124676069840353,11.777067238275908,0.4012887660848168;1.92001506317623,11.862878469918634,1.7803147398709336"
