Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
5,drone_8,1.1185,17.5369,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
5,drone_9,6.3998,15.9875,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
6,drone_0,2.5752,14.9938,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
6,drone_1,7.5864,16.4642,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
6,drone_6,13.4851,8.7139,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
6,drone_7,10.7531,4.2292,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
6,drone_8,0.9319,17.4650,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
6,drone_9,6.2007,16.0068,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
7,drone_0,2.3948,14.9074,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
7,drone_1,7.5480,16.6281,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
7,drone_6,13.5223,8.5174,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
7,drone_7,10.7715,4.0300,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
7,drone_8,0.7456,17.3922,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
7,drone_9,6.0009,16.0147,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
8,drone_0,2.2153,14.8192,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
8,drone_1,7.4796,16.7919,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
8,drone_6,13.5637,8.3217,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
8,drone_7,10.7901,3.8309,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
8,drone_8,0.5581,17.3227,7.6264,15.4517,"13.594,1.997,0.828;3.740,10.685,2.344;17.725,14.876,1.123;3.229,6.024,0.396;13.134,7.771,0.288;18.780,11.506,0.414;17.013,12.464,0.318;2.492,12.386,0.682;7.561,7.845,0.486;12.648,11.685,0.400;9.617,13.349,0.470;7.420,11.521,1.312;1.746,8.573,0.490;15.465,16.498,0.271;18.177,18.939,0.484;7.112,5.089,0.268;1.587,10.771,1.817;7.154,0.866,1.112;13.602,5.327,0.645;17.090,16.968,0.226;16.056,18.082,2.440;18.782,10.098,0.976;2.965,7.268,2.476;2.116,11.685,1.679;13.389,13.029,0.340;9.187,10.565,0.267;16.085,12.550,0.302;2.017,9.522,2.284;5.314,5.944,0.264;11.445,16.359,0.761;1.978,4.832,0.743;2.648,17.752,0.450;16.958,8.700,0.365;0.384,1.089,0.498;13.057,2.940,1.202;19.244,9.071,0.437;8.238,6.384,0.700;7.533,3.853,0.364;17.849,9.828,0.295;9.865,8.791,0.374;19.867,18.415,0.220;6.295,18.667,1.279;9.564,10.937,1.231;18.422,1.827,0.371;9.567,8.372,2.200;7.538,18.428,0.408;6.007,12.291,1.400;10.768,10.533,0.305;7.186,11.299,1.865;18.686,17.124,0.693;7.827,2.051,0.793;12.675,11.170,0.352;10.649,12.361,1.831;17.587,1.205,0.332;13.328,15.554,0.451;9.215,1.175,1.925"
