Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,14.2303,4.7810,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
0,drone_1,16.2266,6.1767,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
0,drone_2,13.6105,6.5539,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
0,drone_3,13.8764,6.1256,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
0,drone_4,14.2411,6.5657,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
0,drone_5,14.5324,7.2672,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
0,drone_6,15.3902,5.1693,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
0,drone_7,14.6060,6.5161,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
0,drone_8,14.4678,6.8996,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
0,drone_9,15.2136,5.6568,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
1,drone_0,14.3303,4.6810,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
1,drone_1,16.3266,6.0767,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
1,drone_2,13.7105,6.4539,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
1,drone_3,13.9764,6.0256,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
1,drone_4,14.3359,6.4710,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
1,drone_5,14.6324,7.1672,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
1,drone_6,15.4902,5.0693,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
1,drone_7,14.7008,6.4213,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
1,drone_8,14.5626,6.8048,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
1,drone_9,15.3136,5.5568,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
2,drone_0,14.4717,4.5396,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
2,drone_1,16.4680,5.9353,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
2,drone_2,13.8132,6.3512,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
2,drone_3,14.0791,5.9229,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
2,drone_4,14.4307,6.3762,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
2,drone_5,14.7436,7.0559,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
2,drone_6,15.6208,4.9387,5.2748,13.1100,"13.499,15.644,0.680;4.376,8.340,1.293;15.051,1.487,0.291;10.708,2.953,0.901;11.473,17.926,2.319;11.104,12.942,2.412;7.295,9.617,0.291;7.929,9.238,0.245;11.722,3.036,0.750;2.698,18.512,0.875;7.277,15.526,0.342;3.314,11.965,0.225;1.550,9.780,0.698;16.869,9.155,0.226;12.270,5.511,1.007;8.583,12.421,0.856;15.219,14.686,0.459;4.681,1.045,0.332;18.150,13.698,0.241;6.505,7.762,1.125;17.957,0.703,0.761;18.986,18.951,1.243;15.912,1.625,1.986;11.791,2.298,0.771;13.800,2.550,0.491;3.212,7.363,0.333;16.535,0.838,1.171;18.125,12.834,1.158;0.230,16.560,0.381;4.419,3.688,1.502;5.005,2.898,1.008;1.881,1.581,0.280;17.502,2.731,1.132;9.243,2.058,2.229;9.551,7.696,1.819;7.006,5.364,2.074;8.350,18.078,2.031;12.742,3.131,0.353;5.144,4.997,0.779;14.488,9.855,0.950"
