Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
113,drone_1,9.651,8.654,2.140,3.011,"16.392784051394226,16.3852936538647,0.8495725373179656;12.408001815247935,2.1635720271024845,0.4122429213515376;13.15259498494676,7.298174940561302,0.8214907399106705;8.754674276403023,18.58177823283502,0.9314619362038198;14.871916531957861,13.856703941485765,0.8272697765370696;5.0978755012543795,11.328775523243458,0.25734958469755476;15.524564357263316,17.302082805688244,0.21889365087952734;10.038629539273348,16.10187022165551,0.7360351975410748;5.707121187440984,3.722956593866066,0.9299000858476894;16.836212364596264,12.556761794417561,0.6666723357008136;10.128164136181818,5.362184512066605,1.748445639392326;15.172593093083245,1.242961683230285,0.20812304467151105;4.1586941420645465,10.92236870810326,0.45501848327270855;8.34831421218191,17.814682424036008,0.3758410458080147;8.825381789849466,15.977640336719109,0.28382983298963865;16.24716856822031,1.308503049218341,0.39804091952092036;13.90801475905447,16.949206020653577,1.058255430152692;3.259729918762245,5.729056195719594,0.6128358671475064;8.854035405464634,9.221382624691362,0.21632858685179412;1.0741026176525834,15.9455604682596,0.7404971382915679;11.725140539697996,1.413744863095364,0.7348660795463696;15.826719240642172,12.786433834133383,1.39893802870692;12.259956157202339,13.333813467658253,2.4213810992722857;18.072661221647586,10.64095258172885,1.6177958647018194;9.813737704060305,13.609436836644978,0.9663136528200951;1.531295027244624,15.934191339146528,0.3720620872261292;1.3500531254506027,11.37323032470136,0.6927397644614179;0.8205826041022852,17.6917662269587,0.27183376802452713;10.855105126516097,13.870920460101704,1.0376392217907497;0.5608613657013231,18.61374024515997,0.4103992616678398;18.89906536387437,4.272075306556772,0.32777540928099835;5.168970712502279,11.534283925678857,1.1795154507416;11.349810556201867,9.525698380480701,0.38372985822235517;9.646042148879781,1.7388797285471966,0.6360785086417328;14.18832486849761,9.84199760423089,1.218616537510517;7.188681394703336,6.689372931685098,2.150765584572301;17.08732870706608,8.031516097191925,1.310808801710953;15.27952773861651,10.063951644609444,0.7437850861996841;8.326852613682721,8.205026019539048,0.9767224407217261;12.231493371120552,15.171926652185242,0.22075410267529094;11.984526411777944,5.467695755670093,0.3946143119518607;2.0074100142306093,17.070867676932266,0.25338303657640426;15.013337084278454,5.392629533950228,0.8966566317891981;2.9545601276715328,11.103160209125834,0.35205313958264495;2.843172875756841,10.168185735471337,1.3727235887181737;16.025262014238347,6.378189128523916,2.4677570322986435"
113,drone_2,10.149,8.783,2.140,3.011,"16.392784051394226,16.3852936538647,0.8495725373179656;12.408001815247935,2.1635720271024845,0.4122429213515376;13.15259498494676,7.298174940561302,0.8214907399106705;8.754674276403023,18.58177823283502,0.9314619362038198;14.871916531957861,13.856703941485765,0.8272697765370696;5.0978755012543795,11.328775523243458,0.25734958469755476;15.524564357263316,17.302082805688244,0.21889365087952734;10.038629539273348,16.10187022165551,0.7360351975410748;5.707121187440984,3.722956593866066,0.9299000858476894;16.836212364596264,12.556761794417561,0.6666723357008136;10.128164136181818,5.362184512066605,1.748445639392326;15.172593093083245,1.242961683230285,0.20812304467151105;4.1586941420645465,10.92236870810326,0.45501848327270855;8.34831421218191,17.814682424036008,0.3758410458080147;8.825381789849466,15.977640336719109,0.28382983298963865;16.24716856822031,1.308503049218341,0.39804091952092036;13.90801475905447,16.949206020653577,1.058255430152692;3.259729918762245,5.729056195719594,0.6128358671475064;8.854035405464634,9.221382624691362,0.21632858685179412;1.0741026176525834,15.9455604682596,0.7404971382915679;11.725140539697996,1.413744863095364,0.7348660795463696;15.826719240642172,12.786433834133383,1.39893802870692;12.259956157202339,13.333813467658253,2.4213810992722857;18.072661221647586,10.64095258172885,1.6177958647018194;9.813737704060305,13.609436836644978,0.9663136528200951;1.531295027244624,15.934191339146528,0.3720620872261292;1.3500531254506027,11.37323032470136,0.6927397644614179;0.8205826041022852,17.6917662269587,0.27183376802452713;10.855105126516097,13.870920460101704,1.0376392217907497;0.5608613657013231,18.61374024515997,0.4103992616678398;18.89906536387437,4.272075306556772,0.32777540928099835;5.168970712502279,11.534283925678857,1.1795154507416;11.349810556201867,9.525698380480701,0.38372985822235517;9.646042148879781,1.7388797285471966,0.6360785086417328;14.18832486849761,9.84199760423089,1.218616537510517;7.188681394703336,6.689372931685098,2.150765584572301;17.08732870706608,8.031516097191925,1.310808801710953;15.27952773861651,10.063951644609444,0.7437850861996841;8.326852613682721,8.205026019539048,0.9767224407217261;12.231493371120552,15.171926652185242,0.22075410267529094;11.984526411777944,5.467695755670093,0.3946143119518607;2.0074100142306093,17.070867676932266,0.25338303657640426;15.013337084278454,5.392629533950228,0.8966566317891981;2.9545601276715328,11.103160209125834,0.35205313958264495;2.843172875756841,10.168185735471337,1.3727235887181737;16.025262014238347,6.378189128523916,2.4677570322986435"
114,drone_1,9.613,8.821,2.140,3.011,"16.392784051394226,16.3852936538647,0.8495725373179656;12.408001815247935,2.1635720271024845,0.4122429213515376;13.15259498494676,7.298174940561302,0.8214907399106705;8.754674276403023,18.58177823283502,0.9314619362038198;14.871916531957861,13.856703941485765,0.8272697765370696;5.0978755012543795,11.328775523243458,0.25734958469755476;15.524564357263316,17.302082805688244,0.21889365087952734;10.038629539273348,16.10187022165551,0.7360351975410748;5.707121187440984,3.722956593866066,0.9299000858476894;16.836212364596264,12.556761794417561,0.6666723357008136;10.128164136181818,5.362184512066605,1.748445639392326;15.172593093083245,1.242961683230285,0.20812304467151105;4.1586941420645465,10.92236870810326,0.45501848327270855;8.34831421218191,17.814682424036008,0.3758410458080147;8.825381789849466,15.977640336719109,0.28382983298963865;16.24716856822031,1.308503049218341,0.39804091952092036;13.90801475905447,16.949206020653577,1.058255430152692;3.259729918762245,5.729056195719594,0.6128358671475064;8.854035405464634,9.221382624691362,0.21632858685179412;1.0741026176525834,15.9455604682596,0.7404971382915679;11.725140539697996,1.413744863095364,0.7348660795463696;15.826719240642172,12.786433834133383,1.39893802870692;12.259956157202339,13.333813467658253,2.4213810992722857;18.072661221647586,10.64095258172885,1.6177958647018194;9.813737704060305,13.609436836644978,0.9663136528200951;1.531295027244624,15.934191339146528,0.3720620872261292;1.3500531254506027,11.37323032470136,0.6927397644614179;0.8205826041022852,17.6917662269587,0.27183376802452713;10.855105126516097,13.870920460101704,1.0376392217907497;0.5608613657013231,18.61374024515997,0.4103992616678398;18.89906536387437,4.272075306556772,0.32777540928099835;5.168970712502279,11.534283925678857,1.1795154507416;11.349810556201867,9.525698380480701,0.38372985822235517;9.646042148879781,1.7388797285471966,0.6360785086417328;14.18832486849761,9.84199760423089,1.218616537510517;7.188681394703336,6.689372931685098,2.150765584572301;17.08732870706608,8.031516097191925,1.310808801710953;15.27952773861651,10.063951644609444,0.7437850861996841;8.326852613682721,8.205026019539048,0.9767224407217261;12.231493371120552,15.171926652185242,0.22075410267529094;11.984526411777944,5.467695755670093,0.3946143119518607;2.0074100142306093,17.070867676932266,0.25338303657640426;15.013337084278454,5.392629533950228,0.8966566317891981;2.9545601276715328,11.103160209125834,0.35205313958264495;2.843172875756841,10.168185735471337,1.3727235887181737;16.025262014238347,6.378189128523916,2.4677570322986435"
114,drone_2,10.104,8.949,2.140,3.011,"16.392784051394226,16.3852936538647,0.8495725373179656;12.408001815247935,2.1635720271024845,0.4122429213515376;13.15259498494676,7.298174940561302,0.8214907399106705;8.754674276403023,18.58177823283502,0.9314619362038198;14.871916531957861,13.856703941485765,0.8272697765370696;5.0978755012543795,11.328775523243458,0.25734958469755476;15.524564357263316,17.302082805688244,0.21889365087952734;10.038629539273348,16.10187022165551,0.7360351975410748;5.707121187440984,3.722956593866066,0.9299000858476894;16.836212364596264,12.556761794417561,0.6666723357008136;10.128164136181818,5.362184512066605,1.748445639392326;15.172593093083245,1.242961683230285,0.20812304467151105;4.1586941420645465,10.92236870810326,0.45501848327270855;8.34831421218191,17.814682424036008,0.3758410458080147;8.825381789849466,15.977640336719109,0.28382983298963865;16.24716856822031,1.308503049218341,0.39804091952092036;13.90801475905447,16.949206020653577,1.058255430152692;3.259729918762245,5.729056195719594,0.6128358671475064;8.854035405464634,9.221382624691362,0.21632858685179412;1.0741026176525834,15.9455604682596,0.7404971382915679;11.725140539697996,1.413744863095364,0.7348660795463696;15.826719240642172,12.786433834133383,1.39893802870692;12.259956157202339,13.333813467658253,2.4213810992722857;18.072661221647586,10.64095258172885,1.6177958647018194;9.813737704060305,13.609436836644978,0.9663136528200951;1.531295027244624,15.934191339146528,0.3720620872261292;1.3500531254506027,11.37323032470136,0.6927397644614179;0.8205826041022852,17.6917662269587,0.27183376802452713;10.855105126516097,13.870920460101704,1.0376392217907497;0.5608613657013231,18.61374024515997,0.4103992616678398;18.89906536387437,4.272075306556772,0.32777540928099835;5.168970712502279,11.534283925678857,1.1795154507416;11.349810556201867,9.525698380480701,0.38372985822235517;9.646042148879781,1.7388797285471966,0.6360785086417328;14.18832486849761,9.84199760423089,1.218616537510517;7.188681394703336,6.689372931685098,2.150765584572301;17.08732870706608,8.031516097191925,1.310808801710953;15.27952773861651,10.063951644609444,0.7437850861996841;8.326852613682721,8.205026019539048,0.9767224407217261;12.231493371120552,15.171926652185242,0.22075410267529094;11.984526411777944,5.467695755670093,0.3946143119518607;2.0074100142306093,17.070867676932266,0.25338303657640426;15.013337084278454,5.392629533950228,0.8966566317891981;2.9545601276715328,11.103160209125834,0.35205313958264495;2.843172875756841,10.168185735471337,1.3727235887181737;16.025262014238347,6.378189128523916,2.4677570322986435"
115,drone_1,9.652,8.989,2.140,3.011,"16.392784051394226,16.3852936538647,0.8495725373179656;12.408001815247935,2.1635720271024845,0.4122429213515376;13.15259498494676,7.298174940561302,0.8214907399106705;8.754674276403023,18.58177823283502,0.9314619362038198;14.871916531957861,13.856703941485765,0.8272697765370696;5.0978755012543795,11.328775523243458,0.25734958469755476;15.524564357263316,17.302082805688244,0.21889365087952734;10.038629539273348,16.10187022165551,0.7360351975410748;5.707121187440984,3.722956593866066,0.9299000858476894;16.836212364596264,12.556761794417561,0.6666723357008136;10.128164136181818,5.362184512066605,1.748445639392326;15.172593093083245,1.242961683230285,0.20812304467151105;4.1586941420645465,10.92236870810326,0.45501848327270855;8.34831421218191,17.814682424036008,0.3758410458080147;8.825381789849466,15.977640336719109,0.28382983298963865;16.24716856822031,1.308503049218341,0.39804091952092036;13.90801475905447,16.949206020653577,1.058255430152692;3.259729918762245,5.729056195719594,0.6128358671475064;8.854035405464634,9.221382624691362,0.21632858685179412;1.0741026176525834,15.9455604682596,0.7404971382915679;11.725140539697996,1.413744863095364,0.7348660795463696;15.826719240642172,12.786433834133383,1.39893802870692;12.259956157202339,13.333813467658253,2.4213810992722857;18.072661221647586,10.64095258172885,1.6177958647018194;9.813737704060305,13.609436836644978,0.9663136528200951;1.531295027244624,15.934191339146528,0.3720620872261292;1.3500531254506027,11.37323032470136,0.6927397644614179;0.8205826041022852,17.6917662269587,0.27183376802452713;10.855105126516097,13.870920460101704,1.0376392217907497;0.5608613657013231,18.61374024515997,0.4103992616678398;18.89906536387437,4.272075306556772,0.32777540928099835;5.168970712502279,11.534283925678857,1.1795154507416;11.349810556201867,9.525698380480701,0.38372985822235517;9.646042148879781,1.7388797285471966,0.6360785086417328;14.18832486849761,9.84199760423089,1.218616537510517;7.188681394703336,6.689372931685098,2.150765584572301;17.08732870706608,8.031516097191925,1.310808801710953;15.27952773861651,10.063951644609444,0.7437850861996841;8.326852613682721,8.205026019539048,0.9767224407217261;12.231493371120552,15.171926652185242,0.22075410267529094;11.984526411777944,5.467695755670093,0.3946143119518607;2.0074100142306093,17.070867676932266,0.25338303657640426;15.013337084278454,5.392629533950228,0.8966566317891981;2.9545601276715328,11.103160209125834,0.35205313958264495;2.843172875756841,10.168185735471337,1.3727235887181737;16.025262014238347,6.378189128523916,2.4677570322986435"
115,drone_2,10.022,9.101,2.140,3.011,"16.392784051394226,16.3852936538647,0.8495725373179656;12.408001815247935,2.1635720271024845,0.4122429213515376;13.15259498494676,7.298174940561302,0.8214907399106705;8.754674276403023,18.58177823283502,0.9314619362038198;14.871916531957861,13.856703941485765,0.8272697765370696;5.0978755012543795,11.328775523243458,0.25734958469755476;15.524564357263316,17.302082805688244,0.21889365087952734;10.038629539273348,16.10187022165551,0.7360351975410748;5.707121187440984,3.722956593866066,0.9299000858476894;16.836212364596264,12.556761794417561,0.6666723357008136;10.128164136181818,5.362184512066605,1.748445639392326;15.172593093083245,1.242961683230285,0.20812304467151105;4.1586941420645465,10.92236870810326,0.45501848327270855;8.34831421218191,17.814682424036008,0.3758410458080147;8.825381789849466,15.977640336719109,0.28382983298963865;16.24716856822031,1.308503049218341,0.39804091952092036;13.90801475905447,16.949206020653577,1.058255430152692;3.259729918762245,5.729056195719594,0.6128358671475064;8.854035405464634,9.221382624691362,0.21632858685179412;1.0741026176525834,15.9455604682596,0.7404971382915679;11.725140539697996,1.413744863095364,0.7348660795463696;15.826719240642172,12.786433834133383,1.39893802870692;12.259956157202339,13.333813467658253,2.4213810992722857;18.072661221647586,10.64095258172885,1.6177958647018194;9.813737704060305,13.609436836644978,0.9663136528200951;1.531295027244624,15.934191339146528,0.3720620872261292;1.3500531254506027,11.37323032470136,0.6927397644614179;0.8205826041022852,17.6917662269587,0.27183376802452713;10.855105126516097,13.870920460101704,1.0376392217907497;0.5608613657013231,18.61374024515997,0.4103992616678398;18.89906536387437,4.272075306556772,0.32777540928099835;5.168970712502279,11.534283925678857,1.1795154507416;11.349810556201867,9.525698380480701,0.38372985822235517;9.646042148879781,1.7388797285471966,0.6360785086417328;14.18832486849761,9.84199760423089,1.218616537510517;7.188681394703336,6.689372931685098,2.150765584572301;17.08732870706608,8.031516097191925,1.310808801710953;15.27952773861651,10.063951644609444,0.7437850861996841;8.326852613682721,8.205026019539048,0.9767224407217261;12.231493371120552,15.171926652185242,0.22075410267529094;11.984526411777944,5.467695755670093,0.3946143119518607;2.0074100142306093,17.070867676932266,0.25338303657640426;15.013337084278454,5.392629533950228,0.8966566317891981;2.9545601276715328,11.103160209125834,0.35205313958264495;2.843172875756841,10.168185735471337,1.3727235887181737;16.025262014238347,6.378189128523916,2.4677570322986435"
116,drone_1,9.614,9.157,2.140,3.011,"16.392784051394226,16.3852936538647,0.8495725373179656;12.408001815247935,2.1635720271024845,0.4122429213515376;13.15259498494676,7.298174940561302,0.8214907399106705;8.754674276403023,18.58177823283502,0.9314619362038198;14.871916531957861,13.856703941485765,0.8272697765370696;5.0978755012543795,11.328775523243458,0.25734958469755476;15.524564357263316,17.302082805688244,0.21889365087952734;10.038629539273348,16.10187022165551,0.7360351975410748;5.707121187440984,3.722956593866066,0.9299000858476894;16.836212364596264,12.556761794417561,0.6666723357008136;10.128164136181818,5.362184512066605,1.748445639392326;15.172593093083245,1.242961683230285,0.20812304467151105;4.1586941420645465,10.92236870810326,0.45501848327270855;8.34831421218191,17.814682424036008,0.3758410458080147;8.825381789849466,15.977640336719109,0.28382983298963865;16.24716856822031,1.308503049218341,0.39804091952092036;13.90801475905447,16.949206020653577,1.058255430152692;3.259729918762245,5.729056195719594,0.6128358671475064;8.854035405464634,9.221382624691362,0.21632858685179412;1.0741026176525834,15.9455604682596,0.7404971382915679;11.725140539697996,1.413744863095364,0.7348660795463696;15.826719240642172,12.786433834133383,1.39893802870692;12.259956157202339,13.333813467658253,2.4213810992722857;18.072661221647586,10.64095258172885,1.6177958647018194;9.813737704060305,13.609436836644978,0.9663136528200951;1.531295027244624,15.934191339146528,0.3720620872261292;1.3500531254506027,11.37323032470136,0.6927397644614179;0.8205826041022852,17.6917662269587,0.27183376802452713;10.855105126516097,13.870920460101704,1.0376392217907497;0.5608613657013231,18.61374024515997,0.4103992616678398;18.89906536387437,4.272075306556772,0.32777540928099835;5.168970712502279,11.534283925678857,1.1795154507416;11.349810556201867,9.525698380480701,0.38372985822235517;9.646042148879781,1.7388797285471966,0.6360785086417328;14.18832486849761,9.84199760423089,1.218616537510517;7.188681394703336,6.689372931685098,2.150765584572301;17.08732870706608,8.031516097191925,1.310808801710953;15.27952773861651,10.063951644609444,0.7437850861996841;8.326852613682721,8.205026019539048,0.9767224407217261;12.231493371120552,15.171926652185242,0.22075410267529094;11.984526411777944,5.467695755670093,0.3946143119518607;2.0074100142306093,17.070867676932266,0.25338303657640426;15.013337084278454,5.392629533950228,0.8966566317891981;2.9545601276715328,11.103160209125834,0.35205313958264495;2.843172875756841,10.168185735471337,1.3727235887181737;16.025262014238347,6.378189128523916,2.4677570322986435"
116,drone_2,10.034,9.272,2.140,3.011,"16.392784051394226,16.3852936538647,0.8495725373179656;12.408001815247935,2.1635720271024845,0.4122429213515376;13.15259498494676,7.298174940561302,0.8214907399106705;8.754674276403023,18.58177823283502,0.9314619362038198;14.871916531957861,13.856703941485765,0.8272697765370696;5.0978755012543795,11.328775523243458,0.25734958469755476;15.524564357263316,17.302082805688244,0.21889365087952734;10.038629539273348,16.10187022165551,0.7360351975410748;5.707121187440984,3.722956593866066,0.9299000858476894;16.836212364596264,12.556761794417561,0.6666723357008136;10.128164136181818,5.362184512066605,1.748445639392326;15.172593093083245,1.242961683230285,0.20812304467151105;4.1586941420645465,10.92236870810326,0.45501848327270855;8.34831421218191,17.814682424036008,0.3758410458080147;8.825381789849466,15.977640336719109,0.28382983298963865;16.24716856822031,1.308503049218341,0.39804091952092036;13.90801475905447,16.949206020653577,1.058255430152692;3.259729918762245,5.729056195719594,0.6128358671475064;8.854035405464634,9.221382624691362,0.21632858685179412;1.0741026176525834,15.9455604682596,0.7404971382915679;11.725140539697996,1.413744863095364,0.7348660795463696;15.826719240642172,12.786433834133383,1.39893802870692;12.259956157202339,13.333813467658253,2.4213810992722857;18.072661221647586,10.64095258172885,1.6177958647018194;9.813737704060305,13.609436836644978,0.9663136528200951;1.531295027244624,15.934191339146528,0.3720620872261292;1.3500531254506027,11.37323032470136,0.6927397644614179;0.8205826041022852,17.6917662269587,0.27183376802452713;10.855105126516097,13.870920460101704,1.0376392217907497;0.5608613657013231,18.61374024515997,0.4103992616678398;18.89906536387437,4.272075306556772,0.32777540928099835;5.168970712502279,11.534283925678857,1.1795154507416;11.349810556201867,9.525698380480701,0.38372985822235517;9.646042148879781,1.7388797285471966,0.6360785086417328;14.18832486849761,9.84199760423089,1.218616537510517;7.188681394703336,6.689372931685098,2.150765584572301;17.08732870706608,8.031516097191925,1.310808801710953;15.27952773861651,10.063951644609444,0.7437850861996841;8.326852613682721,8.205026019539048,0.9767224407217261;12.231493371120552,15.171926652185242,0.22075410267529094;11.984526411777944,5.467695755670093,0.3946143119518607;2.0074100142306093,17.070867676932266,0.25338303657640426;15.013337084278454,5.392629533950228,0.8966566317891981;2.9545601276715328,11.103160209125834,0.35205313958264495;2.843172875756841,10.168185735471337,1.3727235887181737;16.025262014238347,6.378189128523916,2.4677570322986435"
117,drone_1,9.535,9.310,2.140,3.011,"16.392784051394226,16.3852936538647,0.8495725373179656;12.408001815247935,2.1635720271024845,0.4122429213515376;13.15259498494676,7.298174940561302,0.8214907399106705;8.754674276403023,18.58177823283502,0.9314619362038198;14.871916531957861,13.856703941485765,0.8272697765370696;5.0978755012543795,11.328775523243458,0.25734958469755476;15.524564357263316,17.302082805688244,0.21889365087952734;10.038629539273348,16.10187022165551,0.7360351975410748;5.707121187440984,3.722956593866066,0.9299000858476894;16.836212364596264,12.556761794417561,0.6666723357008136;10.128164136181818,5.362184512066605,1.748445639392326;15.172593093083245,1.242961683230285,0.20812304467151105;4.1586941420645465,10.92236870810326,0.45501848327270855;8.34831421218191,17.814682424036008,0.3758410458080147;8.825381789849466,15.977640336719109,0.28382983298963865;16.24716856822031,1.308503049218341,0.39804091952092036;13.90801475905447,16.949206020653577,1.058255430152692;3.259729918762245,5.729056195719594,0.6128358671475064;8.854035405464634,9.221382624691362,0.21632858685179412;1.0741026176525834,15.9455604682596,0.7404971382915679;11.725140539697996,1.413744863095364,0.7348660795463696;15.826719240642172,12.786433834133383,1.39893802870692;12.259956157202339,13.333813467658253,2.4213810992722857;18.072661221647586,10.64095258172885,1.6177958647018194;9.813737704060305,13.609436836644978,0.9663136528200951;1.531295027244624,15.934191339146528,0.3720620872261292;1.3500531254506027,11.37323032470136,0.6927397644614179;0.8205826041022852,17.6917662269587,0.27183376802452713;10.855105126516097,13.870920460101704,1.0376392217907497;0.5608613657013231,18.61374024515997,0.4103992616678398;18.89906536387437,4.272075306556772,0.32777540928099835;5.168970712502279,11.534283925678857,1.1795154507416;11.349810556201867,9.525698380480701,0.38372985822235517;9.646042148879781,1.7388797285471966,0.6360785086417328;14.18832486849761,9.84199760423089,1.218616537510517;7.188681394703336,6.689372931685098,2.150765584572301;17.08732870706608,8.031516097191925,1.310808801710953;15.27952773861651,10.063951644609444,0.7437850861996841;8.326852613682721,8.205026019539048,0.9767224407217261;12.231493371120552,15.171926652185242,0.22075410267529094;11.984526411777944,5.467695755670093,0.3946143119518607;2.0074100142306093,17.070867676932266,0.25338303657640426;15.013337084278454,5.392629533950228,0.8966566317891981;2.9545601276715328,11.103160209125834,0.35205313958264495;2.843172875756841,10.168185735471337,1.3727235887181737;16.025262014238347,6.378189128523916,2.4677570322986435"
117,drone_2,9.981,9.436,2.140,3.011,"16.392784051394226,16.3852936538647,0.8495725373179656;12.408001815247935,2.1635720271024845,0.4122429213515376;13.15259498494676,7.298174940561302,0.8214907399106705;8.754674276403023,18.58177823283502,0.9314619362038198;14.871916531957861,13.856703941485765,0.8272697765370696;5.0978755012543795,11.328775523243458,0.25734958469755476;15.524564357263316,17.302082805688244,0.21889365087952734;10.038629539273348,16.10187022165551,0.7360351975410748;5.707121187440984,3.722956593866066,0.9299000858476894;16.836212364596264,12.556761794417561,0.6666723357008136;10.128164136181818,5.362184512066605,1.748445639392326;15.172593093083245,1.242961683230285,0.20812304467151105;4.1586941420645465,10.92236870810326,0.45501848327270855;8.34831421218191,17.814682424036008,0.3758410458080147;8.825381789849466,15.977640336719109,0.28382983298963865;16.24716856822031,1.308503049218341,0.39804091952092036;13.90801475905447,16.949206020653577,1.058255430152692;3.259729918762245,5.729056195719594,0.6128358671475064;8.854035405464634,9.221382624691362,0.21632858685179412;1.0741026176525834,15.9455604682596,0.7404971382915679;11.725140539697996,1.413744863095364,0.7348660795463696;15.826719240642172,12.786433834133383,1.39893802870692;12.259956157202339,13.333813467658253,2.4213810992722857;18.072661221647586,10.64095258172885,1.6177958647018194;9.813737704060305,13.609436836644978,0.9663136528200951;1.531295027244624,15.934191339146528,0.3720620872261292;1.3500531254506027,11.37323032470136,0.6927397644614179;0.8205826041022852,17.6917662269587,0.27183376802452713;10.855105126516097,13.870920460101704,1.0376392217907497;0.5608613657013231,18.61374024515997,0.4103992616678398;18.89906536387437,4.272075306556772,0.32777540928099835;5.168970712502279,11.534283925678857,1.1795154507416;11.349810556201867,9.525698380480701,0.38372985822235517;9.646042148879781,1.7388797285471966,0.6360785086417328;14.18832486849761,9.84199760423089,1.218616537510517;7.188681394703336,6.689372931685098,2.150765584572301;17.08732870706608,8.031516097191925,1.310808801710953;15.27952773861651,10.063951644609444,0.7437850861996841;8.326852613682721,8.205026019539048,0.9767224407217261;12.231493371120552,15.171926652185242,0.22075410267529094;11.984526411777944,5.467695755670093,0.3946143119518607;2.0074100142306093,17.070867676932266,0.25338303657640426;15.013337084278454,5.392629533950228,0.8966566317891981;2.9545601276715328,11.103160209125834,0.35205313958264495;2.843172875756841,10.168185735471337,1.3727235887181737;16.025262014238347,6.378189128523916,2.4677570322986435"
118,drone_1,9.435,9.450,2.140,3.011,"16.392784051394226,16.3852936538647,0.8495725373179656;12.408001815247935,2.1635720271024845,0.4122429213515376;13.15259498494676,7.298174940561302,0.8214907399106705;8.754674276403023,18.58177823283502,0.9314619362038198;14.871916531957861,13.856703941485765,0.8272697765370696;5.0978755012543795,11.328775523243458,0.25734958469755476;15.524564357263316,17.302082805688244,0.21889365087952734;10.038629539273348,16.10187022165551,0.7360351975410748;5.707121187440984,3.722956593866066,0.9299000858476894;16.836212364596264,12.556761794417561,0.6666723357008136;10.128164136181818,5.362184512066605,1.748445639392326;15.172593093083245,1.242961683230285,0.20812304467151105;4.1586941420645465,10.92236870810326,0.45501848327270855;8.34831421218191,17.814682424036008,0.3758410458080147;8.825381789849466,15.977640336719109,0.28382983298963865;16.24716856822031,1.308503049218341,0.39804091952092036;13.90801475905447,16.949206020653577,1.058255430152692;3.259729918762245,5.729056195719594,0.6128358671475064;8.854035405464634,9.221382624691362,0.21632858685179412;1.0741026176525834,15.9455604682596,0.7404971382915679;11.725140539697996,1.413744863095364,0.7348660795463696;15.826719240642172,12.786433834133383,1.39893802870692;12.259956157202339,13.333813467658253,2.4213810992722857;18.072661221647586,10.64095258172885,1.6177958647018194;9.813737704060305,13.609436836644978,0.9663136528200951;1.531295027244624,15.934191339146528,0.3720620872261292;1.3500531254506027,11.37323032470136,0.6927397644614179;0.8205826041022852,17.6917662269587,0.27183376802452713;10.855105126516097,13.870920460101704,1.0376392217907497;0.5608613657013231,18.61374024515997,0.4103992616678398;18.89906536387437,4.272075306556772,0.32777540928099835;5.168970712502279,11.534283925678857,1.1795154507416;11.349810556201867,9.525698380480701,0.38372985822235517;9.646042148879781,1.7388797285471966,0.6360785086417328;14.18832486849761,9.84199760423089,1.218616537510517;7.188681394703336,6.689372931685098,2.150765584572301;17.08732870706608,8.031516097191925,1.310808801710953;15.27952773861651,10.063951644609444,0.7437850861996841;8.326852613682721,8.205026019539048,0.9767224407217261;12.231493371120552,15.171926652185242,0.22075410267529094;11.984526411777944,5.467695755670093,0.3946143119518607;2.0074100142306093,17.070867676932266,0.25338303657640426;15.013337084278454,5.392629533950228,0.8966566317891981;2.9545601276715328,11.103160209125834,0.35205313958264495;2.843172875756841,10.168185735471337,1.3727235887181737;16.025262014238347,6.378189128523916,2.4677570322986435"
