Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
39,drone_9,9.353,13.326,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
40,drone_0,9.110,11.923,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
40,drone_1,7.537,13.032,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
40,drone_2,9.918,11.386,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
40,drone_3,9.664,12.364,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
40,drone_4,10.258,13.083,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
40,drone_5,8.451,10.700,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
40,drone_6,8.781,13.004,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
40,drone_7,9.097,13.944,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
40,drone_8,8.250,11.658,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
40,drone_9,9.230,13.360,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
41,drone_0,8.989,11.963,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
41,drone_1,7.395,13.173,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
41,drone_2,9.776,11.246,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
41,drone_3,9.526,12.310,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
41,drone_4,10.106,12.953,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
41,drone_5,8.319,10.809,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
41,drone_6,8.638,12.968,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
41,drone_7,8.925,13.935,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
41,drone_8,8.140,11.757,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
41,drone_9,9.121,13.426,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
42,drone_0,8.846,11.924,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
42,drone_1,7.253,13.314,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
42,drone_2,9.634,11.105,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
42,drone_3,9.381,12.338,4.587,14.814,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354"
