Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
6,drone_6,-100.0000,-100.0000,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
6,drone_7,14.9916,11.8416,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
6,drone_8,6.8166,10.0098,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
6,drone_9,5.5028,6.4486,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
7,drone_0,5.8286,1.0128,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
7,drone_1,11.0380,6.4828,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
7,drone_7,-100.0000,-100.0000,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
7,drone_8,6.9580,9.8684,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
7,drone_9,5.6443,6.3072,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
8,drone_0,5.9700,0.8714,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
8,drone_1,11.1794,6.3414,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
8,drone_8,-100.0000,-100.0000,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
8,drone_9,5.7857,6.1658,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
9,drone_0,6.1114,0.7300,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
9,drone_1,11.3209,6.2000,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
9,drone_9,-100.0000,-100.0000,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
10,drone_0,-100.0000,-100.0000,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
10,drone_1,11.4623,6.0586,9.0792,9.2118,"15.018,17.234,0.803;11.598,12.843,1.263;19.180,9.800,1.566;7.013,17.788,0.278;12.516,4.877,1.163;3.710,13.110,2.261;4.015,17.154,1.543;9.727,1.454,0.268;1.393,9.898,0.370;1.244,15.123,2.004;18.560,14.198,2.451;2.668,10.333,0.713;11.363,5.124,2.168;13.964,9.048,0.416;8.137,11.520,0.312;14.912,5.111,0.393;15.117,16.111,0.731;16.226,9.598,1.227;11.881,1.590,0.228;17.787,18.992,0.427;17.556,2.050,1.677;15.882,8.761,0.744;9.263,18.670,0.255;6.238,18.617,1.606;15.326,8.031,0.680;13.839,7.402,0.415;13.556,16.851,0.232;2.708,16.455,0.319;3.364,0.792,1.058;15.716,0.847,0.361;11.303,17.770,1.565;8.135,13.912,0.293;16.125,15.044,1.058;1.639,17.402,1.375;16.481,17.178,1.742;0.477,2.877,0.704;11.334,1.413,1.093;5.193,4.443,0.408;2.927,5.867,1.771"
