Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
63,drone_3,7.049,11.862,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
63,drone_7,8.528,14.033,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
64,drone_3,6.913,11.716,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
64,drone_7,8.387,13.891,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
65,drone_3,6.778,11.568,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
65,drone_7,8.245,13.749,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
66,drone_3,6.688,11.389,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
66,drone_7,8.107,13.605,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
67,drone_3,6.576,11.224,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
67,drone_7,7.968,13.461,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
68,drone_3,6.463,11.059,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
68,drone_7,7.838,13.310,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
69,drone_3,6.342,10.900,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
69,drone_7,7.709,13.157,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
70,drone_3,6.216,10.744,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
70,drone_7,7.575,13.008,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
71,drone_3,6.084,10.594,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
