Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
64,drone_3,8.239,6.494,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
64,drone_4,9.924,8.749,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
64,drone_5,8.946,9.462,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
64,drone_7,7.844,8.359,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
64,drone_8,7.666,6.869,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
64,drone_9,8.740,7.757,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
65,drone_1,9.540,7.747,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
65,drone_2,8.697,8.742,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
65,drone_3,8.117,6.372,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
65,drone_4,9.731,8.699,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
65,drone_5,8.778,9.500,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
65,drone_7,7.720,8.239,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
65,drone_8,7.544,6.747,6.479,6.636,"3.3296790572950425,17.9983437700868,1.1235707412092348;3.2794891888488458,9.835343018346054,0.2672369776321754;8.959153664448426,17.178636923746332,0.29441141252011555;0.9920431336979094,5.961626015704249,0.7253514024147797;5.798027137703378,14.858394092762019,0.32817661178415025;14.614920315541195,3.9006705248650233,1.1080096766456184;8.78930573235904,4.725732598467922,0.4511308510229501;18.75414861372713,7.766875904102713,0.20339926479587944;9.403010633019825,3.746855223783613,1.1468893917566998;1.2977996385576298,0.6518274616194011,0.45152338887185867;9.091407637470992,5.974517496846334,0.24194902891001868;17.84301824636579,1.0608157310448463,0.47209249630635625;18.600589895068133,7.921675962927049,0.26266265910736025;18.156900852356905,1.722617556526484,0.4399235457597034;6.010445742813497,13.112654002322635,1.7374618472780088;9.725246208763048,15.634004902339395,1.955284315525568;3.4738325797433514,3.3523778408582787,1.1566504450889625;10.22064990677489,4.382978061494726,0.3995616524995723;2.3633242806088957,13.298346368776373,0.445990082392425;15.3292034904349,8.58706353886898,0.39328974025380103;17.380333384121908,11.688990496807412,0.6605253903076748;1.6729518613237295,13.848965192972287,0.9779679152984277;11.040451358832511,2.2567275092061014,1.9153464133848084;15.535838558508711,12.797589127686608,1.5938879051957215;15.440965143369775,5.721075870587832,1.3599453041130407;2.247257825326005,11.01891196993624,0.3547501418529253;14.138479914070352,2.7883696586615327,2.1939049058210354;9.009306501073802,12.47429253891991,0.8600258054013454;10.121654766049385,14.558520586810927,1.005181187395692;15.241903898529976,6.282522782020334,0.3203827031462581;11.829843017563904,5.295744411803771,2.3942851679029418;3.0587525301304193,8.05384725766929,0.6493137570735311;1.7364571979536831,14.487539316913757,1.239691269367974;17.4744141787332,14.904719678000232,1.859053536441363;2.152128000780999,5.782111542057439,0.6558952940905337;10.23820934943868,18.566159421662782,0.3284588022970375;14.953103863622319,12.151781498844876,0.4621146328529561;8.965345886045187,4.025183565388964,0.3036093789677907;13.999783321285754,9.754620460620455,0.20830060203244632;10.648589743654547,13.170882470521178,1.0302561080637518;8.61399372137749,11.945828872812262,1.8272733978980606"
