Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
4,drone_0,12.0410,10.8795,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
4,drone_2,-100.0000,-100.0000,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
4,drone_3,5.3133,15.9429,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
4,drone_4,7.0594,2.2817,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
4,drone_5,7.7790,16.9113,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
4,drone_6,8.1927,0.9349,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
4,drone_7,5.2170,5.4588,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
4,drone_8,10.6921,18.0650,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
4,drone_9,4.4008,10.7334,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
5,drone_0,12.1824,10.7381,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
5,drone_3,-100.0000,-100.0000,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
5,drone_4,7.2008,2.1402,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
5,drone_5,7.9204,16.7699,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
5,drone_6,8.3341,0.7935,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
5,drone_7,5.3584,5.3173,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
5,drone_8,10.8336,17.9236,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
5,drone_9,4.5422,10.5920,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
6,drone_0,12.3239,10.5967,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
6,drone_4,-100.0000,-100.0000,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
6,drone_5,8.0618,16.6284,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
