Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
4,drone_2,7.6525,17.0724,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
4,drone_3,12.8815,3.9235,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
4,drone_4,10.7027,17.9467,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
4,drone_5,9.0727,15.1342,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
4,drone_6,5.1621,7.5010,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
4,drone_8,-100.0000,-100.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
4,drone_9,9.7786,6.6539,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
5,drone_0,9.0669,3.5395,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
5,drone_1,16.8721,0.6184,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
5,drone_2,7.7939,16.9310,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
5,drone_3,13.0229,3.7821,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
5,drone_4,10.8441,17.8052,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
5,drone_5,9.2141,14.9928,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
5,drone_6,5.3036,7.3596,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
5,drone_9,-100.0000,-100.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
6,drone_0,-100.0000,-100.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
6,drone_1,17.0135,0.4770,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
6,drone_2,7.9353,16.7896,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
6,drone_3,13.1643,3.6406,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
6,drone_4,10.9855,17.6638,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
6,drone_5,9.3555,14.8514,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
