Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
928,drone_3,12.447,14.051,2.623,8.018,"12.625146088690236,2.575099482290799,0.34957047078181736;8.910725566294344,14.779458332438402,0.224821123694877;9.346082400525686,6.629846317742467,1.8728948675512536;12.431257958284297,9.864857710363765,1.0558159287660538;0.303259706211824,14.742113961292564,0.21765489732595913;17.44149426758541,9.91768918536677,0.6850920545078307;14.369173734105285,11.257058009634523,2.120722186675894;6.76489679743554,16.610838568011477,0.22758228100726335;8.868613719478489,4.04577109916832,1.1109010138105049;2.0750782418991984,12.50251557928336,1.5483581654466598;12.377632322769605,9.881116555055874,1.1809450129798518;10.358944016200091,6.774498095677961,1.8056509680707054;4.93674363864959,8.011784419387595,0.2865637589603465;8.40080917064141,13.943941707579908,0.28005547669913866;14.420164019682684,11.522038696561504,0.28644397070346306;10.590765252924145,9.246017940617472,0.6913495087149834;16.924737749661038,10.107599681782993,1.8362679601250824;12.786878641244865,2.6511285269445293,0.7538930957551805;6.840101449958845,5.576591724492905,2.100676146767065;9.368252515785613,5.734487527708918,0.48203867583509546;16.298301307322273,1.789883087750943,1.1897950474976926;15.443981622878525,6.918856038902273,0.4981622830672704;8.464971877352411,8.914482223319876,0.2216472766082205;18.54408604477812,4.756825218041612,0.25898117205051;11.415061750628256,12.803037156474344,1.3118699916498548;12.504303146544569,8.506469556201814,0.37863933920567816;10.07351674043573,5.8804809090395045,1.1522130030824844;10.909159274267747,5.438603372662106,0.22167854207741144;18.766144715705284,13.965104755926179,0.24581825110274907;10.394808090890587,14.412577056462032,0.883880181786965;6.589132729184847,7.902199866971314,1.3800888323290539;3.219276220722784,16.621580159020002,0.3208149220028764;8.734146399967056,15.276051981528665,0.4295834693451011;6.027363505461549,3.4267113633284194,0.20557521720336971;15.51894093811052,3.757964965695173,0.6439934885090678;3.26674968227148,13.811072966291212,0.8858281701791012;2.4375338654664196,13.13382208323018,0.36301757971793114;0.9358878550865073,6.111461580942461,0.30535379415646335;7.18153498084031,11.412743856267767,1.2244079121453924;8.257074597600434,14.271741643914664,0.354437845942126;1.872647237910558,5.003161490855346,0.36479565200538455;16.85945085218583,1.6760490017285061,0.8198735716135046;19.139261228469763,10.713329396335496,0.46984752466058843;8.02370278302868,6.528156744313825,0.4590834614500044;8.053627591632969,8.244590955274866,1.6463394599299153;11.616770923676047,15.455805727405535,1.0593017446265125;0.6514560265601417,5.125689329638988,0.42218424014741623;12.465903296274373,2.4801894023027273,0.3495826195014885;4.346235564282129,18.581773395465014,0.43064857537821755;15.132533508394046,17.567082630265173,1.8671219127118905"
928,drone_4,13.492,14.579,2.623,8.018,"12.625146088690236,2.575099482290799,0.34957047078181736;8.910725566294344,14.779458332438402,0.224821123694877;9.346082400525686,6.629846317742467,1.8728948675512536;12.431257958284297,9.864857710363765,1.0558159287660538;0.303259706211824,14.742113961292564,0.21765489732595913;17.44149426758541,9.91768918536677,0.6850920545078307;14.369173734105285,11.257058009634523,2.120722186675894;6.76489679743554,16.610838568011477,0.22758228100726335;8.868613719478489,4.04577109916832,1.1109010138105049;2.0750782418991984,12.50251557928336,1.5483581654466598;12.377632322769605,9.881116555055874,1.1809450129798518;10.358944016200091,6.774498095677961,1.8056509680707054;4.93674363864959,8.011784419387595,0.2865637589603465;8.40080917064141,13.943941707579908,0.28005547669913866;14.420164019682684,11.522038696561504,0.28644397070346306;10.590765252924145,9.246017940617472,0.6913495087149834;16.924737749661038,10.107599681782993,1.8362679601250824;12.786878641244865,2.6511285269445293,0.7538930957551805;6.840101449958845,5.576591724492905,2.100676146767065;9.368252515785613,5.734487527708918,0.48203867583509546;16.298301307322273,1.789883087750943,1.1897950474976926;15.443981622878525,6.918856038902273,0.4981622830672704;8.464971877352411,8.914482223319876,0.2216472766082205;18.54408604477812,4.756825218041612,0.25898117205051;11.415061750628256,12.803037156474344,1.3118699916498548;12.504303146544569,8.506469556201814,0.37863933920567816;10.07351674043573,5.8804809090395045,1.1522130030824844;10.909159274267747,5.438603372662106,0.22167854207741144;18.766144715705284,13.965104755926179,0.24581825110274907;10.394808090890587,14.412577056462032,0.883880181786965;6.589132729184847,7.902199866971314,1.3800888323290539;3.219276220722784,16.621580159020002,0.3208149220028764;8.734146399967056,15.276051981528665,0.4295834693451011;6.027363505461549,3.4267113633284194,0.20557521720336971;15.51894093811052,3.757964965695173,0.6439934885090678;3.26674968227148,13.811072966291212,0.8858281701791012;2.4375338654664196,13.13382208323018,0.36301757971793114;0.9358878550865073,6.111461580942461,0.30535379415646335;7.18153498084031,11.412743856267767,1.2244079121453924;8.257074597600434,14.271741643914664,0.354437845942126;1.872647237910558,5.003161490855346,0.36479565200538455;16.85945085218583,1.6760490017285061,0.8198735716135046;19.139261228469763,10.713329396335496,0.46984752466058843;8.02370278302868,6.528156744313825,0.4590834614500044;8.053627591632969,8.244590955274866,1.6463394599299153;11.616770923676047,15.455805727405535,1.0593017446265125;0.6514560265601417,5.125689329638988,0.42218424014741623;12.465903296274373,2.4801894023027273,0.3495826195014885;4.346235564282129,18.581773395465014,0.43064857537821755;15.132533508394046,17.567082630265173,1.8671219127118905"
928,drone_5,13.153,13.928,2.623,8.018,"12.625146088690236,2.575099482290799,0.34957047078181736;8.910725566294344,14.779458332438402,0.224821123694877;9.346082400525686,6.629846317742467,1.8728948675512536;12.431257958284297,9.864857710363765,1.0558159287660538;0.303259706211824,14.742113961292564,0.21765489732595913;17.44149426758541,9.91768918536677,0.6850920545078307;14.369173734105285,11.257058009634523,2.120722186675894;6.76489679743554,16.610838568011477,0.22758228100726335;8.868613719478489,4.04577109916832,1.1109010138105049;2.0750782418991984,12.50251557928336,1.5483581654466598;12.377632322769605,9.881116555055874,1.1809450129798518;10.358944016200091,6.774498095677961,1.8056509680707054;4.93674363864959,8.011784419387595,0.2865637589603465;8.40080917064141,13.943941707579908,0.28005547669913866;14.420164019682684,11.522038696561504,0.28644397070346306;10.590765252924145,9.246017940617472,0.6913495087149834;16.924737749661038,10.107599681782993,1.8362679601250824;12.786878641244865,2.6511285269445293,0.7538930957551805;6.840101449958845,5.576591724492905,2.100676146767065;9.368252515785613,5.734487527708918,0.48203867583509546;16.298301307322273,1.789883087750943,1.1897950474976926;15.443981622878525,6.918856038902273,0.4981622830672704;8.464971877352411,8.914482223319876,0.2216472766082205;18.54408604477812,4.756825218041612,0.25898117205051;11.415061750628256,12.803037156474344,1.3118699916498548;12.504303146544569,8.506469556201814,0.37863933920567816;10.07351674043573,5.8804809090395045,1.1522130030824844;10.909159274267747,5.438603372662106,0.22167854207741144;18.766144715705284,13.965104755926179,0.24581825110274907;10.394808090890587,14.412577056462032,0.883880181786965;6.589132729184847,7.902199866971314,1.3800888323290539;3.219276220722784,16.621580159020002,0.3208149220028764;8.734146399967056,15.276051981528665,0.4295834693451011;6.027363505461549,3.4267113633284194,0.20557521720336971;15.51894093811052,3.757964965695173,0.6439934885090678;3.26674968227148,13.811072966291212,0.8858281701791012;2.4375338654664196,13.13382208323018,0.36301757971793114;0.9358878550865073,6.111461580942461,0.30535379415646335;7.18153498084031,11.412743856267767,1.2244079121453924;8.257074597600434,14.271741643914664,0.354437845942126;1.872647237910558,5.003161490855346,0.36479565200538455;16.85945085218583,1.6760490017285061,0.8198735716135046;19.139261228469763,10.713329396335496,0.46984752466058843;8.02370278302868,6.528156744313825,0.4590834614500044;8.053627591632969,8.244590955274866,1.6463394599299153;11.616770923676047,15.455805727405535,1.0593017446265125;0.6514560265601417,5.125689329638988,0.42218424014741623;12.465903296274373,2.4801894023027273,0.3495826195014885;4.346235564282129,18.581773395465014,0.43064857537821755;15.132533508394046,17.567082630265173,1.8671219127118905"
929,drone_3,12.394,14.116,2.623,8.018,"12.625146088690236,2.575099482290799,0.34957047078181736;8.910725566294344,14.779458332438402,0.224821123694877;9.346082400525686,6.629846317742467,1.8728948675512536;12.431257958284297,9.864857710363765,1.0558159287660538;0.303259706211824,14.742113961292564,0.21765489732595913;17.44149426758541,9.91768918536677,0.6850920545078307;14.369173734105285,11.257058009634523,2.120722186675894;6.76489679743554,16.610838568011477,0.22758228100726335;8.868613719478489,4.04577109916832,1.1109010138105049;2.0750782418991984,12.50251557928336,1.5483581654466598;12.377632322769605,9.881116555055874,1.1809450129798518;10.358944016200091,6.774498095677961,1.8056509680707054;4.93674363864959,8.011784419387595,0.2865637589603465;8.40080917064141,13.943941707579908,0.28005547669913866;14.420164019682684,11.522038696561504,0.28644397070346306;10.590765252924145,9.246017940617472,0.6913495087149834;16.924737749661038,10.107599681782993,1.8362679601250824;12.786878641244865,2.6511285269445293,0.7538930957551805;6.840101449958845,5.576591724492905,2.100676146767065;9.368252515785613,5.734487527708918,0.48203867583509546;16.298301307322273,1.789883087750943,1.1897950474976926;15.443981622878525,6.918856038902273,0.4981622830672704;8.464971877352411,8.914482223319876,0.2216472766082205;18.54408604477812,4.756825218041612,0.25898117205051;11.415061750628256,12.803037156474344,1.3118699916498548;12.504303146544569,8.506469556201814,0.37863933920567816;10.07351674043573,5.8804809090395045,1.1522130030824844;10.909159274267747,5.438603372662106,0.22167854207741144;18.766144715705284,13.965104755926179,0.24581825110274907;10.394808090890587,14.412577056462032,0.883880181786965;6.589132729184847,7.902199866971314,1.3800888323290539;3.219276220722784,16.621580159020002,0.3208149220028764;8.734146399967056,15.276051981528665,0.4295834693451011;6.027363505461549,3.4267113633284194,0.20557521720336971;15.51894093811052,3.757964965695173,0.6439934885090678;3.26674968227148,13.811072966291212,0.8858281701791012;2.4375338654664196,13.13382208323018,0.36301757971793114;0.9358878550865073,6.111461580942461,0.30535379415646335;7.18153498084031,11.412743856267767,1.2244079121453924;8.257074597600434,14.271741643914664,0.354437845942126;1.872647237910558,5.003161490855346,0.36479565200538455;16.85945085218583,1.6760490017285061,0.8198735716135046;19.139261228469763,10.713329396335496,0.46984752466058843;8.02370278302868,6.528156744313825,0.4590834614500044;8.053627591632969,8.244590955274866,1.6463394599299153;11.616770923676047,15.455805727405535,1.0593017446265125;0.6514560265601417,5.125689329638988,0.42218424014741623;12.465903296274373,2.4801894023027273,0.3495826195014885;4.346235564282129,18.581773395465014,0.43064857537821755;15.132533508394046,17.567082630265173,1.8671219127118905"
929,drone_4,13.555,14.513,2.623,8.018,"12.625146088690236,2.575099482290799,0.34957047078181736;8.910725566294344,14.779458332438402,0.224821123694877;9.346082400525686,6.629846317742467,1.8728948675512536;12.431257958284297,9.864857710363765,1.0558159287660538;0.303259706211824,14.742113961292564,0.21765489732595913;17.44149426758541,9.91768918536677,0.6850920545078307;14.369173734105285,11.257058009634523,2.120722186675894;6.76489679743554,16.610838568011477,0.22758228100726335;8.868613719478489,4.04577109916832,1.1109010138105049;2.0750782418991984,12.50251557928336,1.5483581654466598;12.377632322769605,9.881116555055874,1.1809450129798518;10.358944016200091,6.774498095677961,1.8056509680707054;4.93674363864959,8.011784419387595,0.2865637589603465;8.40080917064141,13.943941707579908,0.28005547669913866;14.420164019682684,11.522038696561504,0.28644397070346306;10.590765252924145,9.246017940617472,0.6913495087149834;16.924737749661038,10.107599681782993,1.8362679601250824;12.786878641244865,2.6511285269445293,0.7538930957551805;6.840101449958845,5.576591724492905,2.100676146767065;9.368252515785613,5.734487527708918,0.48203867583509546;16.298301307322273,1.789883087750943,1.1897950474976926;15.443981622878525,6.918856038902273,0.4981622830672704;8.464971877352411,8.914482223319876,0.2216472766082205;18.54408604477812,4.756825218041612,0.25898117205051;11.415061750628256,12.803037156474344,1.3118699916498548;12.504303146544569,8.506469556201814,0.37863933920567816;10.07351674043573,5.8804809090395045,1.1522130030824844;10.909159274267747,5.438603372662106,0.22167854207741144;18.766144715705284,13.965104755926179,0.24581825110274907;10.394808090890587,14.412577056462032,0.883880181786965;6.589132729184847,7.902199866971314,1.3800888323290539;3.219276220722784,16.621580159020002,0.3208149220028764;8.734146399967056,15.276051981528665,0.4295834693451011;6.027363505461549,3.4267113633284194,0.20557521720336971;15.51894093811052,3.757964965695173,0.6439934885090678;3.26674968227148,13.811072966291212,0.8858281701791012;2.4375338654664196,13.13382208323018,0.36301757971793114;0.9358878550865073,6.111461580942461,0.30535379415646335;7.18153498084031,11.412743856267767,1.2244079121453924;8.257074597600434,14.271741643914664,0.354437845942126;1.872647237910558,5.003161490855346,0.36479565200538455;16.85945085218583,1.6760490017285061,0.8198735716135046;19.139261228469763,10.713329396335496,0.46984752466058843;8.02370278302868,6.528156744313825,0.4590834614500044;8.053627591632969,8.244590955274866,1.6463394599299153;11.616770923676047,15.455805727405535,1.0593017446265125;0.6514560265601417,5.125689329638988,0.42218424014741623;12.465903296274373,2.4801894023027273,0.3495826195014885;4.346235564282129,18.581773395465014,0.43064857537821755;15.132533508394046,17.567082630265173,1.8671219127118905"
929,drone_5,13.105,13.884,2.623,8.018,"12.625146088690236,2.575099482290799,0.34957047078181736;8.910725566294344,14.779458332438402,0.224821123694877;9.346082400525686,6.629846317742467,1.8728948675512536;12.431257958284297,9.864857710363765,1.0558159287660538;0.303259706211824,14.742113961292564,0.21765489732595913;17.44149426758541,9.91768918536677,0.6850920545078307;14.369173734105285,11.257058009634523,2.120722186675894;6.76489679743554,16.610838568011477,0.22758228100726335;8.868613719478489,4.04577109916832,1.1109010138105049;2.0750782418991984,12.50251557928336,1.5483581654466598;12.377632322769605,9.881116555055874,1.1809450129798518;10.358944016200091,6.774498095677961,1.8056509680707054;4.93674363864959,8.011784419387595,0.2865637589603465;8.40080917064141,13.943941707579908,0.28005547669913866;14.420164019682684,11.522038696561504,0.28644397070346306;10.590765252924145,9.246017940617472,0.6913495087149834;16.924737749661038,10.107599681782993,1.8362679601250824;12.786878641244865,2.6511285269445293,0.7538930957551805;6.840101449958845,5.576591724492905,2.100676146767065;9.368252515785613,5.734487527708918,0.48203867583509546;16.298301307322273,1.789883087750943,1.1897950474976926;15.443981622878525,6.918856038902273,0.4981622830672704;8.464971877352411,8.914482223319876,0.2216472766082205;18.54408604477812,4.756825218041612,0.25898117205051;11.415061750628256,12.803037156474344,1.3118699916498548;12.504303146544569,8.506469556201814,0.37863933920567816;10.07351674043573,5.8804809090395045,1.1522130030824844;10.909159274267747,5.438603372662106,0.22167854207741144;18.766144715705284,13.965104755926179,0.24581825110274907;10.394808090890587,14.412577056462032,0.883880181786965;6.589132729184847,7.902199866971314,1.3800888323290539;3.219276220722784,16.621580159020002,0.3208149220028764;8.734146399967056,15.276051981528665,0.4295834693451011;6.027363505461549,3.4267113633284194,0.20557521720336971;15.51894093811052,3.757964965695173,0.6439934885090678;3.26674968227148,13.811072966291212,0.8858281701791012;2.4375338654664196,13.13382208323018,0.36301757971793114;0.9358878550865073,6.111461580942461,0.30535379415646335;7.18153498084031,11.412743856267767,1.2244079121453924;8.257074597600434,14.271741643914664,0.354437845942126;1.872647237910558,5.003161490855346,0.36479565200538455;16.85945085218583,1.6760490017285061,0.8198735716135046;19.139261228469763,10.713329396335496,0.46984752466058843;8.02370278302868,6.528156744313825,0.4590834614500044;8.053627591632969,8.244590955274866,1.6463394599299153;11.616770923676047,15.455805727405535,1.0593017446265125;0.6514560265601417,5.125689329638988,0.42218424014741623;12.465903296274373,2.4801894023027273,0.3495826195014885;4.346235564282129,18.581773395465014,0.43064857537821755;15.132533508394046,17.567082630265173,1.8671219127118905"
930,drone_3,12.441,14.282,2.623,8.018,"12.625146088690236,2.575099482290799,0.34957047078181736;8.910725566294344,14.779458332438402,0.224821123694877;9.346082400525686,6.629846317742467,1.8728948675512536;12.431257958284297,9.864857710363765,1.0558159287660538;0.303259706211824,14.742113961292564,0.21765489732595913;17.44149426758541,9.91768918536677,0.6850920545078307;14.369173734105285,11.257058009634523,2.120722186675894;6.76489679743554,16.610838568011477,0.22758228100726335;8.868613719478489,4.04577109916832,1.1109010138105049;2.0750782418991984,12.50251557928336,1.5483581654466598;12.377632322769605,9.881116555055874,1.1809450129798518;10.358944016200091,6.774498095677961,1.8056509680707054;4.93674363864959,8.011784419387595,0.2865637589603465;8.40080917064141,13.943941707579908,0.28005547669913866;14.420164019682684,11.522038696561504,0.28644397070346306;10.590765252924145,9.246017940617472,0.6913495087149834;16.924737749661038,10.107599681782993,1.8362679601250824;12.786878641244865,2.6511285269445293,0.7538930957551805;6.840101449958845,5.576591724492905,2.100676146767065;9.368252515785613,5.734487527708918,0.48203867583509546;16.298301307322273,1.789883087750943,1.1897950474976926;15.443981622878525,6.918856038902273,0.4981622830672704;8.464971877352411,8.914482223319876,0.2216472766082205;18.54408604477812,4.756825218041612,0.25898117205051;11.415061750628256,12.803037156474344,1.3118699916498548;12.504303146544569,8.506469556201814,0.37863933920567816;10.07351674043573,5.8804809090395045,1.1522130030824844;10.909159274267747,5.438603372662106,0.22167854207741144;18.766144715705284,13.965104755926179,0.24581825110274907;10.394808090890587,14.412577056462032,0.883880181786965;6.589132729184847,7.902199866971314,1.3800888323290539;3.219276220722784,16.621580159020002,0.3208149220028764;8.734146399967056,15.276051981528665,0.4295834693451011;6.027363505461549,3.4267113633284194,0.20557521720336971;15.51894093811052,3.757964965695173,0.6439934885090678;3.26674968227148,13.811072966291212,0.8858281701791012;2.4375338654664196,13.13382208323018,0.36301757971793114;0.9358878550865073,6.111461580942461,0.30535379415646335;7.18153498084031,11.412743856267767,1.2244079121453924;8.257074597600434,14.271741643914664,0.354437845942126;1.872647237910558,5.003161490855346,0.36479565200538455;16.85945085218583,1.6760490017285061,0.8198735716135046;19.139261228469763,10.713329396335496,0.46984752466058843;8.02370278302868,6.528156744313825,0.4590834614500044;8.053627591632969,8.244590955274866,1.6463394599299153;11.616770923676047,15.455805727405535,1.0593017446265125;0.6514560265601417,5.125689329638988,0.42218424014741623;12.465903296274373,2.4801894023027273,0.3495826195014885;4.346235564282129,18.581773395465014,0.43064857537821755;15.132533508394046,17.567082630265173,1.8671219127118905"
930,drone_4,13.519,14.547,2.623,8.018,"12.625146088690236,2.575099482290799,0.34957047078181736;8.910725566294344,14.779458332438402,0.224821123694877;9.346082400525686,6.629846317742467,1.8728948675512536;12.431257958284297,9.864857710363765,1.0558159287660538;0.303259706211824,14.742113961292564,0.21765489732595913;17.44149426758541,9.91768918536677,0.6850920545078307;14.369173734105285,11.257058009634523,2.120722186675894;6.76489679743554,16.610838568011477,0.22758228100726335;8.868613719478489,4.04577109916832,1.1109010138105049;2.0750782418991984,12.50251557928336,1.5483581654466598;12.377632322769605,9.881116555055874,1.1809450129798518;10.358944016200091,6.774498095677961,1.8056509680707054;4.93674363864959,8.011784419387595,0.2865637589603465;8.40080917064141,13.943941707579908,0.28005547669913866;14.420164019682684,11.522038696561504,0.28644397070346306;10.590765252924145,9.246017940617472,0.6913495087149834;16.924737749661038,10.107599681782993,1.8362679601250824;12.786878641244865,2.6511285269445293,0.7538930957551805;6.840101449958845,5.576591724492905,2.100676146767065;9.368252515785613,5.734487527708918,0.48203867583509546;16.298301307322273,1.789883087750943,1.1897950474976926;15.443981622878525,6.918856038902273,0.4981622830672704;8.464971877352411,8.914482223319876,0.2216472766082205;18.54408604477812,4.756825218041612,0.25898117205051;11.415061750628256,12.803037156474344,1.3118699916498548;12.504303146544569,8.506469556201814,0.37863933920567816;10.07351674043573,5.8804809090395045,1.1522130030824844;10.909159274267747,5.438603372662106,0.22167854207741144;18.766144715705284,13.965104755926179,0.24581825110274907;10.394808090890587,14.412577056462032,0.883880181786965;6.589132729184847,7.902199866971314,1.3800888323290539;3.219276220722784,16.621580159020002,0.3208149220028764;8.734146399967056,15.276051981528665,0.4295834693451011;6.027363505461549,3.4267113633284194,0.20557521720336971;15.51894093811052,3.757964965695173,0.6439934885090678;3.26674968227148,13.811072966291212,0.8858281701791012;2.4375338654664196,13.13382208323018,0.36301757971793114;0.9358878550865073,6.111461580942461,0.30535379415646335;7.18153498084031,11.412743856267767,1.2244079121453924;8.257074597600434,14.271741643914664,0.354437845942126;1.872647237910558,5.003161490855346,0.36479565200538455;16.85945085218583,1.6760490017285061,0.8198735716135046;19.139261228469763,10.713329396335496,0.46984752466058843;8.02370278302868,6.528156744313825,0.4590834614500044;8.053627591632969,8.244590955274866,1.6463394599299153;11.616770923676047,15.455805727405535,1.0593017446265125;0.6514560265601417,5.125689329638988,0.42218424014741623;12.465903296274373,2.4801894023027273,0.3495826195014885;4.346235564282129,18.581773395465014,0.43064857537821755;15.132533508394046,17.567082630265173,1.8671219127118905"
930,drone_5,13.157,13.940,2.623,8.018,"12.625146088690236,2.575099482290799,0.34957047078181736;8.910725566294344,14.779458332438402,0.224821123694877;9.346082400525686,6.629846317742467,1.8728948675512536;12.431257958284297,9.864857710363765,1.0558159287660538;0.303259706211824,14.742113961292564,0.21765489732595913;17.44149426758541,9.91768918536677,0.6850920545078307;14.369173734105285,11.257058009634523,2.120722186675894;6.76489679743554,16.610838568011477,0.22758228100726335;8.868613719478489,4.04577109916832,1.1109010138105049;2.0750782418991984,12.50251557928336,1.5483581654466598;12.377632322769605,9.881116555055874,1.1809450129798518;10.358944016200091,6.774498095677961,1.8056509680707054;4.93674363864959,8.011784419387595,0.2865637589603465;8.40080917064141,13.943941707579908,0.28005547669913866;14.420164019682684,11.522038696561504,0.28644397070346306;10.590765252924145,9.246017940617472,0.6913495087149834;16.924737749661038,10.107599681782993,1.8362679601250824;12.786878641244865,2.6511285269445293,0.7538930957551805;6.840101449958845,5.576591724492905,2.100676146767065;9.368252515785613,5.734487527708918,0.48203867583509546;16.298301307322273,1.789883087750943,1.1897950474976926;15.443981622878525,6.918856038902273,0.4981622830672704;8.464971877352411,8.914482223319876,0.2216472766082205;18.54408604477812,4.756825218041612,0.25898117205051;11.415061750628256,12.803037156474344,1.3118699916498548;12.504303146544569,8.506469556201814,0.37863933920567816;10.07351674043573,5.8804809090395045,1.1522130030824844;10.909159274267747,5.438603372662106,0.22167854207741144;18.766144715705284,13.965104755926179,0.24581825110274907;10.394808090890587,14.412577056462032,0.883880181786965;6.589132729184847,7.902199866971314,1.3800888323290539;3.219276220722784,16.621580159020002,0.3208149220028764;8.734146399967056,15.276051981528665,0.4295834693451011;6.027363505461549,3.4267113633284194,0.20557521720336971;15.51894093811052,3.757964965695173,0.6439934885090678;3.26674968227148,13.811072966291212,0.8858281701791012;2.4375338654664196,13.13382208323018,0.36301757971793114;0.9358878550865073,6.111461580942461,0.30535379415646335;7.18153498084031,11.412743856267767,1.2244079121453924;8.257074597600434,14.271741643914664,0.354437845942126;1.872647237910558,5.003161490855346,0.36479565200538455;16.85945085218583,1.6760490017285061,0.8198735716135046;19.139261228469763,10.713329396335496,0.46984752466058843;8.02370278302868,6.528156744313825,0.4590834614500044;8.053627591632969,8.244590955274866,1.6463394599299153;11.616770923676047,15.455805727405535,1.0593017446265125;0.6514560265601417,5.125689329638988,0.42218424014741623;12.465903296274373,2.4801894023027273,0.3495826195014885;4.346235564282129,18.581773395465014,0.43064857537821755;15.132533508394046,17.567082630265173,1.8671219127118905"
931,drone_3,12.588,14.347,2.623,8.018,"12.625146088690236,2.575099482290799,0.34957047078181736;8.910725566294344,14.779458332438402,0.224821123694877;9.346082400525686,6.629846317742467,1.8728948675512536;12.431257958284297,9.864857710363765,1.0558159287660538;0.303259706211824,14.742113961292564,0.21765489732595913;17.44149426758541,9.91768918536677,0.6850920545078307;14.369173734105285,11.257058009634523,2.120722186675894;6.76489679743554,16.610838568011477,0.22758228100726335;8.868613719478489,4.04577109916832,1.1109010138105049;2.0750782418991984,12.50251557928336,1.5483581654466598;12.377632322769605,9.881116555055874,1.1809450129798518;10.358944016200091,6.774498095677961,1.8056509680707054;4.93674363864959,8.011784419387595,0.2865637589603465;8.40080917064141,13.943941707579908,0.28005547669913866;14.420164019682684,11.522038696561504,0.28644397070346306;10.590765252924145,9.246017940617472,0.6913495087149834;16.924737749661038,10.107599681782993,1.8362679601250824;12.786878641244865,2.6511285269445293,0.7538930957551805;6.840101449958845,5.576591724492905,2.100676146767065;9.368252515785613,5.734487527708918,0.48203867583509546;16.298301307322273,1.789883087750943,1.1897950474976926;15.443981622878525,6.918856038902273,0.4981622830672704;8.464971877352411,8.914482223319876,0.2216472766082205;18.54408604477812,4.756825218041612,0.25898117205051;11.415061750628256,12.803037156474344,1.3118699916498548;12.504303146544569,8.506469556201814,0.37863933920567816;10.07351674043573,5.8804809090395045,1.1522130030824844;10.909159274267747,5.438603372662106,0.22167854207741144;18.766144715705284,13.965104755926179,0.24581825110274907;10.394808090890587,14.412577056462032,0.883880181786965;6.589132729184847,7.902199866971314,1.3800888323290539;3.219276220722784,16.621580159020002,0.3208149220028764;8.734146399967056,15.276051981528665,0.4295834693451011;6.027363505461549,3.4267113633284194,0.20557521720336971;15.51894093811052,3.757964965695173,0.6439934885090678;3.26674968227148,13.811072966291212,0.8858281701791012;2.4375338654664196,13.13382208323018,0.36301757971793114;0.9358878550865073,6.111461580942461,0.30535379415646335;7.18153498084031,11.412743856267767,1.2244079121453924;8.257074597600434,14.271741643914664,0.354437845942126;1.872647237910558,5.003161490855346,0.36479565200538455;16.85945085218583,1.6760490017285061,0.8198735716135046;19.139261228469763,10.713329396335496,0.46984752466058843;8.02370278302868,6.528156744313825,0.4590834614500044;8.053627591632969,8.244590955274866,1.6463394599299153;11.616770923676047,15.455805727405535,1.0593017446265125;0.6514560265601417,5.125689329638988,0.42218424014741623;12.465903296274373,2.4801894023027273,0.3495826195014885;4.346235564282129,18.581773395465014,0.43064857537821755;15.132533508394046,17.567082630265173,1.8671219127118905"
