Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
57,drone_8,-100.000,-100.000,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
58,drone_0,11.203,2.975,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
58,drone_2,11.610,4.229,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
58,drone_3,10.509,4.005,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
58,drone_4,9.102,4.709,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
58,drone_5,11.440,3.450,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
58,drone_6,9.724,4.699,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
58,drone_7,12.234,5.102,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
59,drone_0,11.371,2.935,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
59,drone_2,11.777,4.271,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
59,drone_3,10.708,4.030,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
59,drone_4,9.246,4.615,13.718,4.900,"15.924888059980823,15.879703447527337,0.984373728905382;10.042195080019908,11.773626775959388,0.816505547541086;10.260280427444503,17.600909307419652,1.2183516988916834;3.141472190902009,2.2739327305357104,2.1360087039937876;14.793278294064715,7.4135925397849425,0.37544181636652285;3.8803462751467364,3.1598642305349,1.306602099546573;3.046901641574849,8.769992338002417,0.3535074582233809;12.260349542750296,18.428668169016216,0.49329835018868234;5.003163797348547,15.607181315307601,0.6430358255686274;13.924256885281547,9.589050718668652,1.0940871325806132;9.937981803315264,11.723102604471695,0.4422993137570641;4.886414176020766,3.725039426947553,2.3153744011127095;11.971900808118376,14.852312681261095,0.4722040184017335;17.1339588881707,1.7766348636919982,0.34044572056664246;6.632358631902354,16.219831276443603,0.7120290344978123;4.348264256051753,9.441114751320304,0.30727132503581855;11.961656522712829,18.46216853123445,0.4919457396024163;16.828228893047022,11.357738139098387,0.8238187819730595;6.662076723596576,9.709886888580481,2.3714192010663844;13.876693238989898,17.185251622758827,0.38505337686636576;3.4812419456864374,5.542042867500407,0.3052680969755579;9.575743745499425,10.045061160500468,0.3400495565921408;14.059433294439847,13.014601940723157,0.6526611407749624;9.60376668679531,15.700596410410578,0.3586440745643067;3.195449214498206,14.464167679180317,0.21995571342062703;10.525100500721154,5.032169293533689,0.48440977904125354;14.97442153219583,13.290318480593674,0.28433202095764043;18.504509650362774,14.260841696205132,0.4671654383060564;17.923656516014095,13.808452869843252,0.7514435828382837;9.705088354528662,18.10519841006901,0.3064512731742656;16.800569800533843,16.980604235095495,1.0634210967300162;17.28193463299655,9.040583507552027,0.4314808465424197;10.219322508182259,7.020702398100321,1.1685740154480588;15.877454951424843,17.951080974747114,0.30058121940313975;14.772174571970107,12.336454098896489,0.32548617509874467;16.47576610615993,11.6080600357791,2.4162017369398816;4.7398872553451,9.195683089313407,0.8802956040043557;6.068247561554115,8.370523592108782,1.1377974699583056;6.712344363340765,15.922295024762022,1.8198407371027316;1.7351216978707638,11.258819846685167,0.7018721042521864;3.0676559814443154,10.003057545642983,0.9091294360953687;15.914840059105785,14.86264428954994,2.1662693790313265"
