Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
821,drone_7,10.480,13.999,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
822,drone_3,11.040,12.933,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
822,drone_6,10.289,2.391,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
822,drone_7,10.471,13.799,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
823,drone_3,11.090,13.126,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
823,drone_6,10.178,2.290,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
823,drone_7,10.361,13.699,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
824,drone_3,11.040,13.220,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
824,drone_6,10.168,2.098,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
824,drone_7,10.352,13.699,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
825,drone_3,11.091,13.214,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
825,drone_6,10.057,2.006,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
825,drone_7,10.242,13.600,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
826,drone_3,11.041,13.107,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
826,drone_6,10.047,2.014,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
826,drone_7,10.232,13.600,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
827,drone_3,11.081,12.940,3.976,11.064,"9.19598337904664,17.407861346971067,0.25525639168429554;9.486320282627036,9.14821737262115,0.6040759160274226;8.325880184698287,11.337168472813639,2.3473999972814092;11.963202081761354,6.525553824953772,0.4552181488114887;11.708409830359674,3.4158318329938635,1.0305874431778341;6.61163630941821,16.53757642665108,1.3224710373739494;11.28051509109594,15.059524888218334,0.3258187687776905;1.1662094534357215,13.903452772812376,0.7707751967259893;5.88836078873584,7.423795766496461,1.0105453543246763;3.2806575788517627,2.2476655907668697,0.7711205452310754;13.337859070790309,7.381181186157481,0.31146299559126056;0.6682803684278747,4.128895771786333,0.32797285228682427;13.700153503410506,2.7452674880145382,2.196580421630772;7.872909381921845,15.807284317886515,2.2016037386800815;8.48398385497116,5.188541557125851,0.4075442211631365;6.646419325443281,14.587460063205283,1.6495514998088363;7.555218833090803,5.9090903182343695,0.622914416229147;17.861184406206284,15.556044930083358,1.2401450596712347;11.230468023621913,10.08067757311236,1.2606570061652693;18.630415110629887,10.117992658011563,0.9395778359300548;14.542891196755473,17.995506226515772,1.5727416011456645;9.033622216827535,16.52271745047291,1.2777631278436472;16.02652178242341,16.896162069173805,0.8013650168257302;7.7744389694934695,3.0776462520345707,1.83640886797508;16.792099331960507,3.279787953375589,1.338503511078328;15.131344976760008,1.3435224097853802,0.22971112720087092;15.576934530985628,15.470814048655798,0.9765232754893184;9.815900033238535,4.7670032333958385,0.909456843728601;2.6781768952093428,16.55048443059339,1.0031699440554356;13.803444084140557,14.111429088602117,2.16167640267045"
