Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
565,drone_5,10.017,5.566,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
565,drone_7,10.304,6.071,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
566,drone_2,11.007,5.532,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
566,drone_5,9.981,5.510,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
566,drone_7,10.245,6.207,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
567,drone_2,10.910,5.626,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
567,drone_5,10.046,5.554,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
567,drone_7,10.100,6.240,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
568,drone_2,10.913,5.620,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
568,drone_5,10.010,5.698,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
568,drone_7,10.056,6.172,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
569,drone_2,10.816,5.514,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
569,drone_5,9.874,5.741,4.491,11.805,"1.1060463084366008,7.324521680810284,0.8736850079011521;11.16714651324664,16.076656554720664,1.250417435369016;18.47478967277413,2.581788512161472,0.9179446191175719;9.015639317003323,14.38893799433652,0.21370694516066727;8.99212085504709,7.121092484553016,1.227100099461496;1.689631947175417,11.472315381081781,0.21639449309519124;10.193893504856629,9.655391434191046,1.666145293487363;4.467415143997608,6.102951284062248,0.38841083147967626;4.280338237244866,16.399501450575727,1.6961224258361636;18.037754707251338,12.70244342137967,0.3495023402847715;15.918894714676952,10.365159916352287,1.3059955589660734;11.01207722629693,8.144934011371426,0.271610284816951;11.343242711469058,18.88731293366405,0.7439485208133331;1.2634058844859601,17.10390981396599,0.25535544862854553;4.121091068570202,18.814868013652593,0.4124135452431872;14.293904792729897,2.381543683600949,0.4772446665881791;3.0720490999071477,17.123109005823085,0.38674543526277205;9.39564233996886,12.705394830120042,0.8230930861540293;7.556957391853049,8.427534025956868,0.39754830573591815;10.572445807187181,13.534909113364373,0.30785809991029434;12.094086865040726,8.375766249873354,2.402803979785614;0.6140156711694923,11.343773771474872,0.4206835067016934;1.0450948782573437,6.696820088306873,0.300711964235072;14.249336418714112,8.413639521577922,1.3496268122565847;0.6255962961819299,18.710477340225637,0.3298287038276711;12.616621001515128,6.921096632430166,1.2274237600827111;11.090014543694888,13.203185878058292,1.1011817245703606;15.735270301600671,10.874317357410494,1.6557133786200233;6.668554593429659,15.015751808005461,0.893108005305332;8.098592430789015,8.921349151455175,1.5404722914999298;13.878678437560698,2.0520993870338984,0.22350703667538052;12.602238830622575,15.523209703827844,0.3064454157004045;7.291695762523459,4.789401015095966,2.1609260782681297;8.332610262941817,8.27243785474327,0.26765531741616083;8.670216291050371,1.8457952831314675,0.24475378841616735;16.656103595943005,3.336884860883613,0.624015661569807;2.5700340346596446,5.782904793025894,1.5307027987835853;15.392000179553623,14.255641178396383,1.5640384210244882;16.186982251201442,11.539606341916915,0.8817074228545998;17.919141534622785,5.526844009260171,1.7322849213102276"
