Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
32,drone_0,7.636,11.029,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
32,drone_1,4.881,7.488,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
32,drone_2,6.958,8.391,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
32,drone_3,9.636,10.456,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
32,drone_4,4.946,6.772,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
32,drone_5,6.070,7.468,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
32,drone_6,4.492,6.004,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
32,drone_7,5.845,7.807,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
32,drone_8,4.137,7.099,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
32,drone_9,7.709,9.124,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
33,drone_0,7.817,11.116,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
33,drone_1,5.016,7.550,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
33,drone_2,7.023,8.581,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
33,drone_3,9.811,10.552,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
33,drone_4,5.025,6.873,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
33,drone_5,6.206,7.574,11.491,10.945,"11.045397754537712,6.9509348647048,0.22457250289019456;19.510768502029684,17.35189749332816,0.4492884847786759;15.375789831346859,1.3867655215105672,0.4698782148934903;14.091782961843899,16.29476220425433,1.2379407107433666;14.062157259672956,2.058747725234022,1.824068191276492;10.677270938691118,5.851435580255599,2.2272304397712084;14.415379895230743,18.228944495525475,0.3552309497464734;1.7360681201669828,8.124061916556409,1.131404891138517;14.22078449374468,1.422700081515535,0.7396033191723549;18.164695012956678,7.672598250708612,0.7896988248144328;12.201579918461338,0.6951758888096293,0.32658855624143346;18.376235040975427,2.5819455821611776,0.4519154466617249;14.642934047496318,16.588012269704237,1.2051112834166293;7.77420490389177,10.012809244501703,0.4251939908644576;13.553157901820697,18.327040241717153,1.547278580121007;11.363167376260924,4.1851220760772545,0.8154186016767788;4.534431104894462,8.812503627509606,1.0004117509508903;11.646798190745292,15.32012767096334,1.305256128367882;19.461727215563673,1.6349003364861914,0.29628361179233753;18.015430661359485,6.127635384168988,0.6110396948699929;15.249175884880223,10.244027184415458,0.29650558877678423;2.407033879363889,12.726729945481917,0.27084174593649213;14.113789815208621,1.3891415043330755,1.0590495906667203;5.363542101977304,9.190598405538294,1.2238230122450993;8.885003418893401,6.476451480592901,1.7073397888963284;6.859522516921969,5.119773868698782,1.8828460461420982;2.3277849585948163,9.33148660725055,0.9156412853829021;14.449638346587836,2.8457157357379446,2.1215816016959717;2.3594944559307187,11.95601674899054,1.5411639229166387;8.19948983148933,4.432355287202227,0.2794688987509288;9.567203657737668,7.347706560658308,1.9438769052141476;6.999051355380301,16.67703378433068,0.671589310796223;8.350285179629646,4.9837627731001355,1.9628744925077646"
